sim_time,sys_total_stopped
0.0,0
5.0,0
10.0,0
15.0,0
20.0,0
25.0,0
30.0,0
35.0,1
40.0,1
45.0,0
50.0,0
55.0,0
60.0,0
65.0,0
70.0,0
75.0,0
80.0,3
85.0,3
90.0,3
95.0,5
100.0,6
105.0,7
110.0,6
115.0,3
120.0,3
125.0,5
130.0,6
135.0,8
140.0,10
145.0,7
150.0,3
155.0,4
160.0,5
165.0,5
170.0,6
175.0,8
180.0,12
185.0,14
190.0,14
195.0,15
200.0,14
205.0,13
210.0,12
215.0,10
220.0,9
225.0,10
230.0,14
235.0,13
240.0,14
245.0,17
250.0,17
255.0,18
260.0,15
265.0,15
270.0,11
275.0,10
280.0,13
285.0,10
290.0,9
295.0,9
300.0,9
305.0,10
310.0,12
315.0,17
320.0,12
325.0,9
330.0,7
335.0,9
340.0,9
345.0,15
350.0,23
355.0,24
360.0,20
365.0,15
370.0,17
375.0,18
380.0,14
385.0,15
390.0,12
395.0,8
400.0,8
405.0,10
410.0,17
415.0,18
420.0,11
425.0,15
430.0,11
435.0,10
440.0,11
445.0,12
450.0,16
455.0,17
460.0,13
465.0,16
470.0,17
475.0,18
480.0,21
485.0,16
490.0,12
495.0,11
500.0,13
505.0,15
510.0,16
515.0,15
520.0,16
525.0,14
530.0,12
535.0,14
540.0,13
545.0,19
550.0,15
555.0,15
560.0,21
565.0,19
570.0,15
575.0,21
580.0,19
585.0,13
590.0,14
595.0,13
600.0,13
605.0,16
610.0,14
615.0,15
620.0,12
625.0,14
630.0,14
635.0,13
640.0,6
645.0,3
650.0,9
655.0,5
660.0,5
665.0,6
670.0,10
675.0,11
680.0,8
685.0,12
690.0,12
695.0,10
700.0,8
705.0,10
710.0,8
715.0,3
720.0,3
725.0,4
730.0,5
735.0,6
740.0,8
745.0,10
750.0,11
755.0,14
760.0,7
765.0,7
770.0,5
775.0,10
780.0,12
785.0,14
790.0,17
795.0,17
800.0,11
805.0,8
810.0,5
815.0,4
820.0,6
825.0,9
830.0,11
835.0,12
840.0,14
845.0,17
850.0,18
855.0,14
860.0,12
865.0,14
870.0,10
875.0,10
880.0,12
885.0,14
890.0,15
895.0,15
900.0,11
905.0,11
910.0,11
915.0,13
920.0,13
925.0,17
930.0,19
935.0,20
940.0,23
945.0,13
950.0,12
955.0,13
960.0,14
965.0,13
970.0,12
975.0,15
980.0,16
985.0,14
990.0,13
995.0,11
1000.0,8
1005.0,8
1010.0,14
1015.0,16
1020.0,11
1025.0,16
1030.0,19
1035.0,22
1040.0,19
1045.0,13
1050.0,13
1055.0,17
1060.0,14
1065.0,15
1070.0,16
1075.0,19
1080.0,17
1085.0,20
1090.0,19
1095.0,21
1100.0,19
1105.0,16
1110.0,16
1115.0,17
1120.0,17
1125.0,14
1130.0,16
1135.0,13
1140.0,10
1145.0,11
1150.0,12
1155.0,15
1160.0,19
1165.0,24
1170.0,30
1175.0,26
1180.0,27
1185.0,21
1190.0,22
1195.0,20
1200.0,13
1205.0,14
1210.0,14
1215.0,15
1220.0,16
1225.0,16
1230.0,13
1235.0,18
1240.0,16
1245.0,13
1250.0,12
1255.0,21
1260.0,16
1265.0,12
1270.0,10
1275.0,11
1280.0,14
1285.0,19
1290.0,19
1295.0,17
1300.0,15
1305.0,18
1310.0,14
1315.0,10
1320.0,8
1325.0,7
1330.0,7
1335.0,4
1340.0,5
1345.0,4
1350.0,5
1355.0,7
1360.0,9
1365.0,13
1370.0,15
1375.0,15
1380.0,13
1385.0,8
1390.0,5
1395.0,5
1400.0,4
1405.0,5
1410.0,9
1415.0,14
1420.0,16
1425.0,15
1430.0,18
1435.0,16
1440.0,9
1445.0,3
1450.0,4
1455.0,7
1460.0,12
1465.0,18
1470.0,22
1475.0,24
1480.0,21
1485.0,16
1490.0,13
1495.0,12
1500.0,7
1505.0,8
1510.0,10
1515.0,11
1520.0,12
1525.0,14
1530.0,18
1535.0,21
1540.0,24
1545.0,27
1550.0,26
1555.0,22
1560.0,18
1565.0,21
1570.0,16
1575.0,13
1580.0,16
1585.0,16
1590.0,15
1595.0,16
1600.0,13
1605.0,12
1610.0,11
1615.0,14
1620.0,13
1625.0,17
1630.0,18
1635.0,12
1640.0,12
1645.0,13
1650.0,11
1655.0,11
1660.0,7
1665.0,14
1670.0,16
1675.0,13
1680.0,13
1685.0,14
1690.0,13
1695.0,14
1700.0,9
1705.0,13
1710.0,14
1715.0,9
1720.0,12
1725.0,13
1730.0,19
1735.0,21
1740.0,19
1745.0,11
1750.0,15
1755.0,16
1760.0,12
1765.0,11
1770.0,10
1775.0,13
1780.0,16
1785.0,15
1790.0,15
1795.0,14
1800.0,14
1805.0,13
1810.0,15
1815.0,12
1820.0,12
1825.0,9
1830.0,10
1835.0,12
1840.0,8
1845.0,13
1850.0,13
1855.0,12
1860.0,12
1865.0,11
1870.0,11
1875.0,6
1880.0,4
1885.0,6
1890.0,4
1895.0,6
1900.0,4
1905.0,5
1910.0,6
1915.0,6
1920.0,6
1925.0,7
1930.0,10
1935.0,10
1940.0,7
1945.0,7
1950.0,8
1955.0,6
1960.0,7
1965.0,4
1970.0,7
1975.0,3
1980.0,5
1985.0,7
1990.0,8
1995.0,7
2000.0,17
2005.0,16
2010.0,12
2015.0,11
2020.0,13
2025.0,12
2030.0,14
2035.0,19
2040.0,19
2045.0,22
2050.0,22
2055.0,20
2060.0,14
2065.0,7
2070.0,12
2075.0,13
2080.0,17
2085.0,19
2090.0,23
2095.0,20
2100.0,15
2105.0,17
2110.0,14
2115.0,14
2120.0,15
2125.0,12
2130.0,13
2135.0,8
2140.0,8
2145.0,9
2150.0,9
2155.0,10
2160.0,15
2165.0,19
2170.0,19
2175.0,20
2180.0,24
2185.0,26
2190.0,28
2195.0,25
2200.0,22
2205.0,21
2210.0,16
2215.0,16
2220.0,14
2225.0,13
2230.0,19
2235.0,15
2240.0,15
2245.0,12
2250.0,9
2255.0,10
2260.0,9
2265.0,13
2270.0,14
2275.0,19
2280.0,20
2285.0,16
2290.0,17
2295.0,18
2300.0,12
2305.0,15
2310.0,17
2315.0,16
2320.0,22
2325.0,18
2330.0,18
2335.0,18
2340.0,21
2345.0,25
2350.0,21
2355.0,18
2360.0,21
2365.0,25
2370.0,22
2375.0,18
2380.0,15
2385.0,19
2390.0,16
2395.0,17
2400.0,19
2405.0,17
2410.0,17
2415.0,14
2420.0,14
2425.0,15
2430.0,15
2435.0,16
2440.0,18
2445.0,19
2450.0,10
2455.0,7
2460.0,13
2465.0,15
2470.0,11
2475.0,8
2480.0,5
2485.0,4
2490.0,5
2495.0,5
2500.0,6
2505.0,7
2510.0,7
2515.0,7
2520.0,7
2525.0,7
2530.0,8
2535.0,9
2540.0,11
2545.0,14
2550.0,11
2555.0,5
2560.0,6
2565.0,8
2570.0,5
2575.0,4
2580.0,6
2585.0,5
2590.0,6
2595.0,5
2600.0,7
2605.0,10
2610.0,8
2615.0,7
2620.0,6
2625.0,5
2630.0,5
2635.0,6
2640.0,6
2645.0,9
2650.0,9
2655.0,10
2660.0,13
2665.0,11
2670.0,10
2675.0,11
2680.0,16
2685.0,14
2690.0,17
2695.0,17
2700.0,15
2705.0,16
2710.0,17
2715.0,18
2720.0,18
2725.0,17
2730.0,19
2735.0,16
2740.0,18
2745.0,14
2750.0,15
2755.0,20
2760.0,20
2765.0,21
2770.0,21
2775.0,18
2780.0,17
2785.0,14
2790.0,17
2795.0,14
2800.0,13
2805.0,12
2810.0,16
2815.0,14
2820.0,13
2825.0,15
2830.0,14
2835.0,17
2840.0,16
2845.0,9
2850.0,11
2855.0,9
2860.0,11
2865.0,12
2870.0,18
2875.0,15
2880.0,17
2885.0,18
2890.0,21
2895.0,15
2900.0,12
2905.0,13
2910.0,13
2915.0,19
2920.0,13
2925.0,15
2930.0,15
2935.0,15
2940.0,13
2945.0,15
2950.0,15
2955.0,20
2960.0,23
2965.0,21
2970.0,22
2975.0,18
2980.0,17
2985.0,20
2990.0,16
2995.0,14
3000.0,14
3005.0,19
