sim_time,sys_total_stopped
0.0,0
5.0,0
10.0,0
15.0,0
20.0,0
25.0,0
30.0,0
35.0,2
40.0,2
45.0,2
50.0,2
55.0,3
60.0,4
65.0,3
70.0,3
75.0,4
80.0,2
85.0,1
90.0,2
95.0,3
100.0,4
105.0,4
110.0,7
115.0,6
120.0,5
125.0,5
130.0,5
135.0,6
140.0,6
145.0,6
150.0,9
155.0,13
160.0,13
165.0,10
170.0,11
175.0,11
180.0,10
185.0,11
190.0,9
195.0,9
200.0,8
205.0,8
210.0,7
215.0,3
220.0,5
225.0,7
230.0,6
235.0,6
240.0,7
245.0,9
250.0,10
255.0,10
260.0,13
265.0,14
270.0,10
275.0,7
280.0,9
285.0,11
290.0,10
295.0,8
300.0,12
305.0,11
310.0,8
315.0,9
320.0,17
325.0,17
330.0,16
335.0,11
340.0,7
345.0,5
350.0,8
355.0,7
360.0,8
365.0,15
370.0,19
375.0,18
380.0,16
385.0,14
390.0,7
395.0,9
400.0,13
405.0,12
410.0,10
415.0,6
420.0,6
425.0,7
430.0,9
435.0,12
440.0,11
445.0,11
450.0,12
455.0,16
460.0,8
465.0,11
470.0,14
475.0,14
480.0,15
485.0,15
490.0,16
495.0,19
500.0,16
505.0,18
510.0,18
515.0,17
520.0,18
525.0,16
530.0,17
535.0,13
540.0,14
545.0,16
550.0,20
555.0,22
560.0,26
565.0,26
570.0,25
575.0,23
580.0,20
585.0,22
590.0,24
595.0,27
600.0,23
605.0,17
610.0,14
615.0,16
620.0,16
625.0,16
630.0,20
635.0,19
640.0,23
645.0,28
650.0,28
655.0,26
660.0,28
665.0,28
670.0,27
675.0,19
680.0,21
685.0,18
690.0,18
695.0,22
700.0,19
705.0,16
710.0,16
715.0,14
720.0,15
725.0,16
730.0,14
735.0,18
740.0,20
745.0,19
750.0,15
755.0,15
760.0,14
765.0,12
770.0,7
775.0,7
780.0,7
785.0,5
790.0,5
795.0,7
800.0,10
805.0,9
810.0,8
815.0,6
820.0,3
825.0,3
830.0,4
835.0,6
840.0,9
845.0,11
850.0,12
855.0,12
860.0,10
865.0,13
870.0,15
875.0,13
880.0,14
885.0,16
890.0,18
895.0,15
900.0,14
905.0,15
910.0,14
915.0,15
920.0,15
925.0,17
930.0,15
935.0,14
940.0,12
945.0,11
950.0,11
955.0,6
960.0,5
965.0,8
970.0,7
975.0,7
980.0,5
985.0,7
990.0,8
995.0,9
1000.0,8
1005.0,10
1010.0,10
1015.0,14
1020.0,10
1025.0,10
1030.0,16
1035.0,15
1040.0,11
1045.0,14
1050.0,12
1055.0,11
1060.0,13
1065.0,17
1070.0,17
1075.0,11
1080.0,11
1085.0,9
1090.0,7
1095.0,5
1100.0,4
1105.0,5
1110.0,7
1115.0,7
1120.0,3
1125.0,5
1130.0,5
1135.0,6
1140.0,7
1145.0,9
1150.0,11
1155.0,14
1160.0,14
1165.0,12
1170.0,6
1175.0,7
1180.0,11
1185.0,9
1190.0,12
1195.0,17
1200.0,17
1205.0,12
1210.0,9
1215.0,9
1220.0,12
1225.0,9
1230.0,10
1235.0,14
1240.0,17
1245.0,14
1250.0,13
1255.0,12
1260.0,13
1265.0,15
1270.0,13
1275.0,10
1280.0,12
1285.0,9
1290.0,4
1295.0,7
1300.0,8
1305.0,8
1310.0,9
1315.0,12
1320.0,11
1325.0,5
1330.0,5
1335.0,5
1340.0,5
1345.0,4
1350.0,6
1355.0,8
1360.0,7
1365.0,6
1370.0,6
1375.0,6
1380.0,8
1385.0,8
1390.0,9
1395.0,9
1400.0,11
1405.0,10
1410.0,8
1415.0,9
1420.0,13
1425.0,10
1430.0,8
1435.0,8
1440.0,10
1445.0,5
1450.0,7
1455.0,8
1460.0,12
1465.0,13
1470.0,9
1475.0,13
1480.0,9
1485.0,13
1490.0,9
1495.0,11
1500.0,13
1505.0,11
1510.0,8
1515.0,8
1520.0,6
1525.0,9
1530.0,10
1535.0,11
1540.0,17
1545.0,16
1550.0,20
1555.0,22
1560.0,19
1565.0,13
1570.0,13
1575.0,15
1580.0,17
1585.0,14
1590.0,17
1595.0,21
1600.0,17
1605.0,17
1610.0,13
1615.0,13
1620.0,17
1625.0,14
1630.0,10
1635.0,15
1640.0,11
1645.0,12
1650.0,13
1655.0,15
1660.0,16
1665.0,20
1670.0,21
1675.0,21
1680.0,25
1685.0,19
1690.0,15
1695.0,16
1700.0,14
1705.0,10
1710.0,14
1715.0,17
1720.0,13
1725.0,18
1730.0,23
1735.0,19
1740.0,17
1745.0,13
1750.0,12
1755.0,15
1760.0,19
1765.0,16
1770.0,18
1775.0,19
1780.0,20
1785.0,18
1790.0,16
1795.0,14
1800.0,9
1805.0,5
1810.0,9
1815.0,11
1820.0,12
1825.0,11
1830.0,13
1835.0,17
1840.0,15
1845.0,13
1850.0,13
1855.0,11
1860.0,14
1865.0,12
1870.0,11
1875.0,11
1880.0,9
1885.0,9
1890.0,8
1895.0,4
1900.0,5
1905.0,2
1910.0,4
1915.0,7
1920.0,5
1925.0,5
1930.0,2
1935.0,5
1940.0,7
1945.0,7
1950.0,6
1955.0,4
1960.0,6
1965.0,5
1970.0,6
1975.0,5
1980.0,7
1985.0,6
1990.0,10
1995.0,12
2000.0,13
2005.0,11
2010.0,11
2015.0,13
2020.0,15
2025.0,15
2030.0,12
2035.0,12
2040.0,10
2045.0,8
2050.0,6
2055.0,7
2060.0,13
2065.0,10
2070.0,14
2075.0,14
2080.0,18
2085.0,20
2090.0,13
2095.0,7
2100.0,10
2105.0,8
2110.0,6
2115.0,5
2120.0,13
2125.0,12
2130.0,10
2135.0,13
2140.0,10
2145.0,13
2150.0,11
2155.0,8
2160.0,9
2165.0,12
2170.0,14
2175.0,16
2180.0,15
2185.0,16
2190.0,17
2195.0,18
2200.0,20
2205.0,20
2210.0,16
2215.0,18
2220.0,18
2225.0,16
2230.0,15
2235.0,15
2240.0,17
2245.0,12
2250.0,6
2255.0,10
2260.0,15
2265.0,12
2270.0,12
2275.0,14
2280.0,12
2285.0,7
2290.0,3
2295.0,7
2300.0,7
2305.0,7
2310.0,7
2315.0,8
2320.0,14
2325.0,18
2330.0,19
2335.0,17
2340.0,17
2345.0,17
2350.0,19
2355.0,22
2360.0,20
2365.0,21
2370.0,21
2375.0,24
2380.0,21
2385.0,16
2390.0,17
2395.0,16
2400.0,18
2405.0,19
2410.0,18
2415.0,9
2420.0,9
2425.0,8
2430.0,7
2435.0,6
2440.0,8
2445.0,8
2450.0,15
2455.0,17
2460.0,15
2465.0,13
2470.0,14
2475.0,12
2480.0,9
2485.0,6
2490.0,10
2495.0,10
2500.0,10
2505.0,12
2510.0,15
2515.0,12
2520.0,13
2525.0,13
2530.0,17
2535.0,8
2540.0,10
2545.0,10
2550.0,11
2555.0,11
2560.0,9
2565.0,15
2570.0,20
2575.0,21
2580.0,17
2585.0,16
2590.0,13
2595.0,12
2600.0,10
2605.0,11
2610.0,13
2615.0,14
2620.0,18
2625.0,19
2630.0,15
2635.0,13
2640.0,11
2645.0,7
2650.0,8
2655.0,17
2660.0,19
2665.0,18
2670.0,23
2675.0,24
2680.0,20
2685.0,18
2690.0,15
2695.0,12
2700.0,11
2705.0,13
2710.0,13
2715.0,13
2720.0,11
2725.0,9
2730.0,7
2735.0,8
2740.0,13
2745.0,13
2750.0,8
2755.0,11
2760.0,16
2765.0,14
2770.0,14
2775.0,13
2780.0,16
2785.0,15
2790.0,16
2795.0,16
2800.0,8
2805.0,7
2810.0,5
2815.0,5
2820.0,5
2825.0,4
2830.0,8
2835.0,10
2840.0,8
2845.0,9
2850.0,8
2855.0,7
2860.0,6
2865.0,9
2870.0,10
2875.0,11
2880.0,8
2885.0,8
2890.0,8
2895.0,5
2900.0,4
2905.0,4
2910.0,8
2915.0,11
2920.0,11
2925.0,8
2930.0,8
2935.0,11
2940.0,8
2945.0,10
2950.0,12
2955.0,11
2960.0,12
2965.0,9
2970.0,9
2975.0,9
2980.0,11
2985.0,16
2990.0,16
2995.0,21
3000.0,22
3005.0,15
