sim_time,sys_total_stopped
0.0,0
5.0,0
10.0,0
15.0,0
20.0,0
25.0,0
30.0,0
35.0,2
40.0,2
45.0,2
50.0,2
55.0,2
60.0,2
65.0,4
70.0,4
75.0,7
80.0,9
85.0,9
90.0,8
95.0,9
100.0,9
105.0,6
110.0,5
115.0,5
120.0,9
125.0,6
130.0,6
135.0,7
140.0,9
145.0,8
150.0,9
155.0,5
160.0,7
165.0,8
170.0,10
175.0,12
180.0,14
185.0,18
190.0,12
195.0,9
200.0,10
205.0,10
210.0,8
215.0,7
220.0,9
225.0,3
230.0,4
235.0,6
240.0,12
245.0,15
250.0,15
255.0,14
260.0,13
265.0,14
270.0,12
275.0,16
280.0,15
285.0,16
290.0,10
295.0,7
300.0,7
305.0,12
310.0,15
315.0,14
320.0,17
325.0,20
330.0,14
335.0,10
340.0,12
345.0,12
350.0,10
355.0,10
360.0,16
365.0,15
370.0,11
375.0,14
380.0,11
385.0,12
390.0,10
395.0,9
400.0,13
405.0,16
410.0,14
415.0,15
420.0,14
425.0,12
430.0,9
435.0,5
440.0,4
445.0,4
450.0,7
455.0,8
460.0,9
465.0,11
470.0,6
475.0,7
480.0,10
485.0,9
490.0,10
495.0,11
500.0,13
505.0,12
510.0,16
515.0,14
520.0,5
525.0,7
530.0,8
535.0,11
540.0,16
545.0,19
550.0,20
555.0,17
560.0,18
565.0,15
570.0,12
575.0,12
580.0,13
585.0,11
590.0,7
595.0,10
600.0,11
605.0,9
610.0,10
615.0,9
620.0,8
625.0,8
630.0,11
635.0,15
640.0,15
645.0,16
650.0,21
655.0,17
660.0,15
665.0,12
670.0,10
675.0,10
680.0,8
685.0,8
690.0,10
695.0,14
700.0,12
705.0,10
710.0,6
715.0,6
720.0,5
725.0,5
730.0,5
735.0,4
740.0,3
745.0,2
750.0,1
755.0,1
760.0,1
765.0,2
770.0,1
775.0,4
780.0,6
785.0,7
790.0,8
795.0,8
800.0,11
805.0,6
810.0,4
815.0,8
820.0,7
825.0,7
830.0,8
835.0,7
840.0,9
845.0,9
850.0,7
855.0,5
860.0,4
865.0,4
870.0,5
875.0,6
880.0,11
885.0,13
890.0,11
895.0,11
900.0,5
905.0,5
910.0,5
915.0,8
920.0,13
925.0,9
930.0,6
935.0,11
940.0,11
945.0,5
950.0,5
955.0,9
960.0,10
965.0,9
970.0,9
975.0,9
980.0,9
985.0,6
990.0,3
995.0,4
1000.0,6
1005.0,5
1010.0,5
1015.0,9
1020.0,11
1025.0,10
1030.0,8
1035.0,8
1040.0,10
1045.0,9
1050.0,11
1055.0,13
1060.0,14
1065.0,8
1070.0,10
1075.0,12
1080.0,12
1085.0,12
1090.0,10
1095.0,9
1100.0,11
1105.0,13
1110.0,14
1115.0,17
1120.0,16
1125.0,11
1130.0,8
1135.0,6
1140.0,8
1145.0,11
1150.0,13
1155.0,12
1160.0,17
1165.0,13
1170.0,13
1175.0,12
1180.0,10
1185.0,9
1190.0,9
1195.0,8
1200.0,7
1205.0,7
1210.0,7
1215.0,9
1220.0,8
1225.0,9
1230.0,9
1235.0,10
1240.0,9
1245.0,4
1250.0,7
1255.0,7
1260.0,11
1265.0,9
1270.0,10
1275.0,9
1280.0,4
1285.0,6
1290.0,11
1295.0,10
1300.0,11
1305.0,10
1310.0,10
1315.0,11
1320.0,8
1325.0,7
1330.0,9
1335.0,8
1340.0,7
1345.0,3
1350.0,2
1355.0,6
1360.0,7
1365.0,7
1370.0,7
1375.0,9
1380.0,12
1385.0,12
1390.0,13
1395.0,16
1400.0,14
1405.0,15
1410.0,11
1415.0,8
1420.0,7
1425.0,7
1430.0,7
1435.0,7
1440.0,8
1445.0,11
1450.0,11
1455.0,13
1460.0,11
1465.0,12
1470.0,8
1475.0,9
1480.0,7
1485.0,8
1490.0,10
1495.0,10
1500.0,9
1505.0,7
1510.0,5
1515.0,5
1520.0,8
1525.0,9
1530.0,12
1535.0,13
1540.0,11
1545.0,13
1550.0,13
1555.0,13
1560.0,8
1565.0,8
1570.0,7
1575.0,9
1580.0,9
1585.0,9
1590.0,12
1595.0,16
1600.0,18
1605.0,14
1610.0,12
1615.0,10
1620.0,6
1625.0,7
1630.0,9
1635.0,9
1640.0,10
1645.0,15
1650.0,17
1655.0,16
1660.0,15
1665.0,13
1670.0,11
1675.0,13
1680.0,7
1685.0,9
1690.0,7
1695.0,11
1700.0,7
1705.0,8
1710.0,6
1715.0,6
1720.0,6
1725.0,8
1730.0,9
1735.0,9
1740.0,11
1745.0,9
1750.0,6
1755.0,5
1760.0,9
1765.0,8
1770.0,6
1775.0,8
1780.0,12
1785.0,11
1790.0,10
1795.0,12
1800.0,14
1805.0,9
1810.0,8
1815.0,5
1820.0,6
1825.0,8
1830.0,8
1835.0,10
1840.0,12
1845.0,9
1850.0,10
1855.0,8
1860.0,8
1865.0,9
1870.0,10
1875.0,8
1880.0,5
1885.0,8
1890.0,11
1895.0,7
1900.0,8
1905.0,10
1910.0,9
1915.0,3
1920.0,1
1925.0,2
1930.0,3
1935.0,3
1940.0,4
1945.0,4
1950.0,6
1955.0,10
1960.0,7
1965.0,8
1970.0,7
1975.0,4
1980.0,3
1985.0,4
1990.0,4
1995.0,6
2000.0,7
2005.0,11
2010.0,14
2015.0,16
2020.0,20
2025.0,16
2030.0,14
2035.0,11
2040.0,13
2045.0,9
2050.0,8
2055.0,11
2060.0,11
2065.0,12
2070.0,13
2075.0,14
2080.0,10
2085.0,9
2090.0,7
2095.0,6
2100.0,5
2105.0,6
2110.0,6
2115.0,5
2120.0,7
2125.0,7
2130.0,8
2135.0,12
2140.0,11
2145.0,10
2150.0,6
2155.0,10
2160.0,7
2165.0,3
2170.0,7
2175.0,11
2180.0,15
2185.0,12
2190.0,10
2195.0,15
2200.0,15
2205.0,11
2210.0,7
2215.0,9
2220.0,16
2225.0,11
2230.0,11
2235.0,12
2240.0,15
2245.0,15
2250.0,17
2255.0,11
2260.0,14
2265.0,12
2270.0,8
2275.0,7
2280.0,6
2285.0,7
2290.0,8
2295.0,12
2300.0,10
2305.0,16
2310.0,18
2315.0,17
2320.0,12
2325.0,14
2330.0,13
2335.0,13
2340.0,8
2345.0,10
2350.0,11
2355.0,13
2360.0,12
2365.0,15
2370.0,14
2375.0,14
2380.0,13
2385.0,6
2390.0,7
2395.0,5
2400.0,6
2405.0,5
2410.0,7
2415.0,6
2420.0,8
2425.0,11
2430.0,12
2435.0,12
2440.0,15
2445.0,14
2450.0,14
2455.0,11
2460.0,13
2465.0,11
2470.0,9
2475.0,13
2480.0,16
2485.0,13
2490.0,14
2495.0,12
2500.0,10
2505.0,10
2510.0,6
2515.0,6
2520.0,4
2525.0,5
2530.0,6
2535.0,6
2540.0,7
2545.0,4
2550.0,6
2555.0,4
2560.0,6
2565.0,7
2570.0,9
2575.0,8
2580.0,9
2585.0,10
2590.0,10
2595.0,11
2600.0,12
2605.0,15
2610.0,13
2615.0,10
2620.0,16
2625.0,18
2630.0,18
2635.0,14
2640.0,9
2645.0,12
2650.0,10
2655.0,12
2660.0,11
2665.0,15
2670.0,15
2675.0,14
2680.0,16
2685.0,15
2690.0,15
2695.0,16
2700.0,21
2705.0,19
2710.0,17
2715.0,20
2720.0,25
2725.0,17
2730.0,14
2735.0,13
2740.0,12
2745.0,7
2750.0,5
2755.0,8
2760.0,7
2765.0,7
2770.0,9
2775.0,11
2780.0,10
2785.0,14
2790.0,14
2795.0,16
2800.0,15
2805.0,14
2810.0,17
2815.0,18
2820.0,12
2825.0,16
2830.0,16
2835.0,16
2840.0,13
2845.0,15
2850.0,16
2855.0,12
2860.0,11
2865.0,10
2870.0,9
2875.0,6
2880.0,5
2885.0,6
2890.0,6
2895.0,8
2900.0,8
2905.0,10
2910.0,11
2915.0,9
2920.0,7
2925.0,8
2930.0,9
2935.0,11
2940.0,10
2945.0,12
2950.0,10
2955.0,12
2960.0,11
2965.0,12
2970.0,8
2975.0,10
2980.0,10
2985.0,11
2990.0,11
2995.0,9
3000.0,12
3005.0,15
