sim_time,sys_total_stopped
0.0,0
5.0,0
10.0,0
15.0,0
20.0,0
25.0,0
30.0,0
35.0,2
40.0,3
45.0,4
50.0,3
55.0,3
60.0,1
65.0,2
70.0,1
75.0,3
80.0,3
85.0,7
90.0,6
95.0,5
100.0,7
105.0,8
110.0,10
115.0,4
120.0,5
125.0,4
130.0,3
135.0,4
140.0,3
145.0,5
150.0,4
155.0,2
160.0,3
165.0,3
170.0,4
175.0,5
180.0,7
185.0,6
190.0,5
195.0,5
200.0,4
205.0,4
210.0,3
215.0,6
220.0,8
225.0,11
230.0,13
235.0,11
240.0,13
245.0,14
250.0,15
255.0,13
260.0,9
265.0,11
270.0,10
275.0,11
280.0,12
285.0,11
290.0,15
295.0,17
300.0,15
305.0,14
310.0,13
315.0,13
320.0,15
325.0,8
330.0,8
335.0,9
340.0,10
345.0,9
350.0,13
355.0,17
360.0,18
365.0,17
370.0,13
375.0,13
380.0,15
385.0,13
390.0,14
395.0,19
400.0,16
405.0,9
410.0,4
415.0,8
420.0,9
425.0,8
430.0,8
435.0,11
440.0,16
445.0,13
450.0,17
455.0,14
460.0,10
465.0,13
470.0,11
475.0,9
480.0,9
485.0,7
490.0,9
495.0,7
500.0,11
505.0,15
510.0,14
515.0,13
520.0,12
525.0,8
530.0,4
535.0,4
540.0,8
545.0,17
550.0,19
555.0,25
560.0,20
565.0,18
570.0,16
575.0,11
580.0,11
585.0,11
590.0,14
595.0,14
600.0,14
605.0,17
610.0,11
615.0,13
620.0,11
625.0,12
630.0,11
635.0,17
640.0,23
645.0,14
650.0,11
655.0,10
660.0,5
665.0,7
670.0,8
675.0,9
680.0,12
685.0,11
690.0,5
695.0,7
700.0,8
705.0,10
710.0,12
715.0,13
720.0,16
725.0,14
730.0,14
735.0,14
740.0,16
745.0,14
750.0,13
755.0,12
760.0,14
765.0,13
770.0,14
775.0,13
780.0,12
785.0,9
790.0,9
795.0,7
800.0,9
805.0,11
810.0,13
815.0,16
820.0,14
825.0,14
830.0,16
835.0,9
840.0,7
845.0,9
850.0,5
855.0,4
860.0,6
865.0,11
870.0,11
875.0,16
880.0,20
885.0,20
890.0,18
895.0,13
900.0,10
905.0,9
910.0,9
915.0,8
920.0,10
925.0,10
930.0,10
935.0,8
940.0,9
945.0,6
950.0,7
955.0,7
960.0,10
965.0,9
970.0,7
975.0,8
980.0,12
985.0,13
990.0,12
995.0,12
1000.0,10
1005.0,9
1010.0,7
1015.0,11
1020.0,6
1025.0,8
1030.0,13
1035.0,13
1040.0,12
1045.0,15
1050.0,17
1055.0,17
1060.0,17
1065.0,13
1070.0,15
1075.0,13
1080.0,8
1085.0,7
1090.0,6
1095.0,10
1100.0,12
1105.0,13
1110.0,14
1115.0,15
1120.0,17
1125.0,13
1130.0,9
1135.0,5
1140.0,7
1145.0,7
1150.0,8
1155.0,13
1160.0,6
1165.0,6
1170.0,5
1175.0,4
1180.0,3
1185.0,1
1190.0,3
1195.0,10
1200.0,9
1205.0,6
1210.0,6
1215.0,8
1220.0,9
1225.0,9
1230.0,5
1235.0,8
1240.0,12
1245.0,9
1250.0,8
1255.0,6
1260.0,4
1265.0,3
1270.0,7
1275.0,10
1280.0,11
1285.0,8
1290.0,14
1295.0,19
1300.0,17
1305.0,20
1310.0,12
1315.0,13
1320.0,11
1325.0,11
1330.0,7
1335.0,7
1340.0,8
1345.0,8
1350.0,9
1355.0,8
1360.0,11
1365.0,12
1370.0,11
1375.0,10
1380.0,10
1385.0,10
1390.0,12
1395.0,15
1400.0,6
1405.0,13
1410.0,11
1415.0,12
1420.0,12
1425.0,10
1430.0,14
1435.0,13
1440.0,7
1445.0,6
1450.0,6
1455.0,8
1460.0,8
1465.0,9
1470.0,10
1475.0,10
1480.0,5
1485.0,2
1490.0,6
1495.0,6
1500.0,6
1505.0,7
1510.0,6
1515.0,9
1520.0,11
1525.0,7
1530.0,10
1535.0,12
1540.0,11
1545.0,8
1550.0,6
1555.0,8
1560.0,10
1565.0,9
1570.0,13
1575.0,14
1580.0,16
1585.0,11
1590.0,13
1595.0,13
1600.0,16
1605.0,16
1610.0,12
1615.0,14
1620.0,13
1625.0,10
1630.0,11
1635.0,13
1640.0,16
1645.0,16
1650.0,15
1655.0,18
1660.0,14
1665.0,16
1670.0,16
1675.0,15
1680.0,12
1685.0,10
1690.0,11
1695.0,10
1700.0,9
1705.0,7
1710.0,12
1715.0,10
1720.0,9
1725.0,9
1730.0,10
1735.0,7
1740.0,8
1745.0,9
1750.0,11
1755.0,11
1760.0,5
1765.0,5
1770.0,2
1775.0,4
1780.0,3
1785.0,2
1790.0,6
1795.0,10
1800.0,12
1805.0,15
1810.0,12
1815.0,14
1820.0,9
1825.0,7
1830.0,10
1835.0,6
1840.0,4
1845.0,1
1850.0,4
1855.0,5
1860.0,3
1865.0,8
1870.0,4
1875.0,3
1880.0,4
1885.0,8
1890.0,8
1895.0,9
1900.0,6
1905.0,9
1910.0,9
1915.0,8
1920.0,10
1925.0,12
1930.0,9
1935.0,9
1940.0,8
1945.0,9
1950.0,8
1955.0,6
1960.0,7
1965.0,7
1970.0,7
1975.0,5
1980.0,3
1985.0,3
1990.0,2
1995.0,2
2000.0,4
2005.0,4
2010.0,1
2015.0,4
2020.0,4
2025.0,4
2030.0,1
2035.0,4
2040.0,5
2045.0,8
2050.0,8
2055.0,5
2060.0,5
2065.0,3
2070.0,3
2075.0,7
2080.0,9
2085.0,9
2090.0,7
2095.0,7
2100.0,9
2105.0,8
2110.0,6
2115.0,10
2120.0,6
2125.0,7
2130.0,6
2135.0,4
2140.0,3
2145.0,4
2150.0,6
2155.0,8
2160.0,7
2165.0,9
2170.0,10
2175.0,8
2180.0,8
2185.0,5
2190.0,1
2195.0,2
2200.0,5
2205.0,6
2210.0,6
2215.0,9
2220.0,10
2225.0,10
2230.0,12
2235.0,10
2240.0,11
2245.0,9
2250.0,10
2255.0,7
2260.0,6
2265.0,11
2270.0,15
2275.0,14
2280.0,11
2285.0,5
2290.0,5
2295.0,1
2300.0,6
2305.0,4
2310.0,5
2315.0,8
2320.0,15
2325.0,15
2330.0,17
2335.0,21
2340.0,22
2345.0,15
2350.0,12
2355.0,9
2360.0,6
2365.0,7
2370.0,10
2375.0,9
2380.0,11
2385.0,7
2390.0,9
2395.0,7
2400.0,8
2405.0,10
2410.0,13
2415.0,12
2420.0,14
2425.0,15
2430.0,14
2435.0,16
2440.0,15
2445.0,14
2450.0,13
2455.0,10
2460.0,11
2465.0,12
2470.0,14
2475.0,13
2480.0,10
2485.0,11
2490.0,6
2495.0,6
2500.0,5
2505.0,6
2510.0,7
2515.0,8
2520.0,7
2525.0,7
2530.0,3
2535.0,4
2540.0,7
2545.0,8
2550.0,10
2555.0,6
2560.0,6
2565.0,6
2570.0,6
2575.0,5
2580.0,6
2585.0,4
2590.0,5
2595.0,7
2600.0,7
2605.0,7
2610.0,10
2615.0,7
2620.0,6
2625.0,6
2630.0,5
2635.0,5
2640.0,11
2645.0,11
2650.0,14
2655.0,13
2660.0,13
2665.0,12
2670.0,6
2675.0,4
2680.0,4
2685.0,1
2690.0,2
2695.0,3
2700.0,6
2705.0,6
2710.0,7
2715.0,10
2720.0,12
2725.0,14
2730.0,9
2735.0,11
2740.0,12
2745.0,8
2750.0,8
2755.0,9
2760.0,8
2765.0,8
2770.0,6
2775.0,9
2780.0,3
2785.0,1
2790.0,2
2795.0,3
2800.0,3
2805.0,4
2810.0,10
2815.0,14
2820.0,11
2825.0,8
2830.0,9
2835.0,8
2840.0,8
2845.0,9
2850.0,9
2855.0,6
2860.0,9
2865.0,6
2870.0,7
2875.0,4
2880.0,5
2885.0,5
2890.0,5
2895.0,5
2900.0,9
2905.0,9
2910.0,9
2915.0,8
2920.0,7
2925.0,9
2930.0,6
2935.0,10
2940.0,9
2945.0,9
2950.0,10
2955.0,14
2960.0,17
2965.0,14
2970.0,16
2975.0,12
2980.0,8
2985.0,7
2990.0,12
2995.0,16
3000.0,16
3005.0,15
