sim_time,sys_total_wait_time
0.0,0.0
5.0,0.0
10.0,0.0
15.0,0.0
20.0,0.0
25.0,0.0
30.0,0.0
35.0,8.0
40.0,14.0
45.0,24.0
50.0,34.0
55.0,46.0
60.0,63.0
65.0,16.0
70.0,29.0
75.0,38.0
80.0,35.0
85.0,32.0
90.0,42.0
95.0,56.0
100.0,72.0
105.0,88.0
110.0,93.0
115.0,118.0
120.0,137.0
125.0,162.0
130.0,94.0
135.0,91.0
140.0,75.0
145.0,93.0
150.0,137.0
155.0,192.0
160.0,232.0
165.0,246.0
170.0,241.0
175.0,288.0
180.0,328.0
185.0,349.0
190.0,362.0
195.0,366.0
200.0,394.0
205.0,434.0
210.0,250.0
215.0,42.0
220.0,60.0
225.0,90.0
230.0,100.0
235.0,122.0
240.0,153.0
245.0,128.0
250.0,171.0
255.0,176.0
260.0,233.0
265.0,302.0
270.0,225.0
275.0,137.0
280.0,179.0
285.0,223.0
290.0,207.0
295.0,232.0
300.0,279.0
305.0,209.0
310.0,171.0
315.0,216.0
320.0,283.0
325.0,341.0
330.0,392.0
335.0,265.0
340.0,144.0
345.0,92.0
350.0,126.0
355.0,102.0
360.0,132.0
365.0,194.0
370.0,282.0
375.0,371.0
380.0,288.0
385.0,238.0
390.0,170.0
395.0,208.0
400.0,261.0
405.0,265.0
410.0,288.0
415.0,167.0
420.0,131.0
425.0,165.0
430.0,203.0
435.0,218.0
440.0,235.0
445.0,235.0
450.0,272.0
455.0,346.0
460.0,251.0
465.0,138.0
470.0,201.0
475.0,230.0
480.0,303.0
485.0,326.0
490.0,331.0
495.0,417.0
500.0,401.0
505.0,489.0
510.0,406.0
515.0,334.0
520.0,418.0
525.0,370.0
530.0,403.0
535.0,376.0
540.0,417.0
545.0,453.0
550.0,504.0
555.0,575.0
560.0,674.0
565.0,731.0
570.0,725.0
575.0,795.0
580.0,500.0
585.0,481.0
590.0,548.0
595.0,682.0
600.0,635.0
605.0,534.0
610.0,349.0
615.0,418.0
620.0,334.0
625.0,384.0
630.0,475.0
635.0,401.0
640.0,345.0
645.0,451.0
650.0,574.0
655.0,698.0
660.0,752.0
665.0,675.0
670.0,770.0
675.0,700.0
680.0,799.0
685.0,788.0
690.0,795.0
695.0,898.0
700.0,736.0
705.0,444.0
710.0,433.0
715.0,411.0
720.0,456.0
725.0,526.0
730.0,499.0
735.0,562.0
740.0,654.0
745.0,247.0
750.0,216.0
755.0,267.0
760.0,285.0
765.0,334.0
770.0,252.0
775.0,193.0
780.0,228.0
785.0,215.0
790.0,240.0
795.0,270.0
800.0,304.0
805.0,345.0
810.0,192.0
815.0,66.0
820.0,32.0
825.0,47.0
830.0,66.0
835.0,92.0
840.0,77.0
845.0,131.0
850.0,188.0
855.0,217.0
860.0,201.0
865.0,235.0
870.0,288.0
875.0,333.0
880.0,401.0
885.0,476.0
890.0,459.0
895.0,417.0
900.0,479.0
905.0,552.0
910.0,497.0
915.0,508.0
920.0,416.0
925.0,482.0
930.0,494.0
935.0,428.0
940.0,484.0
945.0,487.0
950.0,509.0
955.0,138.0
960.0,34.0
965.0,48.0
970.0,76.0
975.0,111.0
980.0,99.0
985.0,96.0
990.0,77.0
995.0,113.0
1000.0,123.0
1005.0,170.0
1010.0,200.0
1015.0,255.0
1020.0,193.0
1025.0,173.0
1030.0,241.0
1035.0,231.0
1040.0,264.0
1045.0,327.0
1050.0,277.0
1055.0,281.0
1060.0,339.0
1065.0,415.0
1070.0,492.0
1075.0,364.0
1080.0,237.0
1085.0,103.0
1090.0,86.0
1095.0,79.0
1100.0,87.0
1105.0,73.0
1110.0,106.0
1115.0,76.0
1120.0,54.0
1125.0,54.0
1130.0,60.0
1135.0,82.0
1140.0,113.0
1145.0,148.0
1150.0,147.0
1155.0,213.0
1160.0,256.0
1165.0,247.0
1170.0,151.0
1175.0,145.0
1180.0,194.0
1185.0,226.0
1190.0,279.0
1195.0,317.0
1200.0,372.0
1205.0,213.0
1210.0,181.0
1215.0,125.0
1220.0,183.0
1225.0,135.0
1230.0,140.0
1235.0,157.0
1240.0,234.0
1245.0,259.0
1250.0,278.0
1255.0,316.0
1260.0,379.0
1265.0,352.0
1270.0,175.0
1275.0,207.0
1280.0,216.0
1285.0,244.0
1290.0,136.0
1295.0,168.0
1300.0,83.0
1305.0,102.0
1310.0,135.0
1315.0,142.0
1320.0,168.0
1325.0,99.0
1330.0,113.0
1335.0,138.0
1340.0,119.0
1345.0,138.0
1350.0,168.0
1355.0,206.0
1360.0,215.0
1365.0,230.0
1370.0,218.0
1375.0,248.0
1380.0,283.0
1385.0,289.0
1390.0,189.0
1395.0,234.0
1400.0,284.0
1405.0,279.0
1410.0,180.0
1415.0,187.0
1420.0,244.0
1425.0,203.0
1430.0,150.0
1435.0,87.0
1440.0,133.0
1445.0,64.0
1450.0,89.0
1455.0,125.0
1460.0,173.0
1465.0,199.0
1470.0,153.0
1475.0,180.0
1480.0,100.0
1485.0,158.0
1490.0,127.0
1495.0,172.0
1500.0,216.0
1505.0,196.0
1510.0,184.0
1515.0,217.0
1520.0,215.0
1525.0,60.0
1530.0,84.0
1535.0,122.0
1540.0,192.0
1545.0,201.0
1550.0,291.0
1555.0,398.0
1560.0,319.0
1565.0,302.0
1570.0,352.0
1575.0,333.0
1580.0,398.0
1585.0,367.0
1590.0,441.0
1595.0,424.0
1600.0,436.0
1605.0,499.0
1610.0,453.0
