sim_time,sys_total_wait_time
0.0,0.0
5.0,0.0
10.0,0.0
15.0,0.0
20.0,0.0
25.0,0.0
30.0,0.0
35.0,3.0
40.0,9.0
45.0,12.0
50.0,7.0
55.0,17.0
60.0,27.0
65.0,44.0
70.0,64.0
75.0,91.0
80.0,132.0
85.0,177.0
90.0,183.0
95.0,227.0
100.0,272.0
105.0,193.0
110.0,177.0
115.0,202.0
120.0,240.0
125.0,91.0
130.0,100.0
135.0,108.0
140.0,116.0
145.0,154.0
150.0,195.0
155.0,77.0
160.0,111.0
165.0,150.0
170.0,193.0
175.0,242.0
180.0,284.0
185.0,366.0
190.0,244.0
195.0,242.0
200.0,291.0
205.0,263.0
210.0,112.0
215.0,92.0
220.0,72.0
225.0,15.0
230.0,31.0
235.0,56.0
240.0,100.0
245.0,159.0
250.0,190.0
255.0,162.0
260.0,216.0
265.0,203.0
270.0,254.0
275.0,326.0
280.0,288.0
285.0,368.0
290.0,244.0
295.0,169.0
300.0,204.0
305.0,261.0
310.0,322.0
315.0,287.0
320.0,291.0
325.0,383.0
330.0,340.0
335.0,284.0
340.0,340.0
345.0,389.0
350.0,243.0
355.0,259.0
360.0,325.0
365.0,248.0
370.0,236.0
375.0,303.0
380.0,246.0
385.0,306.0
390.0,204.0
395.0,174.0
400.0,231.0
405.0,305.0
410.0,246.0
415.0,271.0
420.0,303.0
425.0,214.0
430.0,148.0
435.0,117.0
440.0,98.0
445.0,118.0
450.0,149.0
455.0,121.0
460.0,153.0
465.0,109.0
470.0,68.0
475.0,101.0
480.0,147.0
485.0,144.0
490.0,192.0
495.0,190.0
500.0,227.0
505.0,268.0
510.0,340.0
515.0,335.0
520.0,134.0
525.0,152.0
530.0,192.0
535.0,241.0
540.0,312.0
545.0,400.0
550.0,494.0
555.0,518.0
560.0,608.0
565.0,467.0
570.0,386.0
575.0,392.0
580.0,453.0
585.0,393.0
590.0,240.0
595.0,277.0
600.0,330.0
605.0,321.0
610.0,367.0
615.0,394.0
620.0,355.0
625.0,322.0
630.0,372.0
635.0,438.0
640.0,455.0
645.0,486.0
650.0,581.0
655.0,638.0
660.0,689.0
665.0,646.0
670.0,689.0
675.0,676.0
680.0,360.0
685.0,39.0
690.0,83.0
695.0,138.0
700.0,135.0
705.0,163.0
710.0,161.0
715.0,156.0
720.0,97.0
725.0,122.0
730.0,74.0
735.0,93.0
740.0,68.0
745.0,10.0
750.0,1.0
755.0,1.0
760.0,6.0
765.0,15.0
770.0,16.0
775.0,30.0
780.0,54.0
785.0,80.0
790.0,118.0
795.0,118.0
800.0,169.0
805.0,109.0
810.0,100.0
815.0,131.0
820.0,142.0
825.0,177.0
830.0,213.0
835.0,195.0
840.0,234.0
845.0,248.0
850.0,240.0
855.0,238.0
860.0,187.0
865.0,175.0
870.0,196.0
875.0,226.0
880.0,275.0
885.0,336.0
890.0,355.0
895.0,394.0
900.0,134.0
905.0,159.0
910.0,184.0
915.0,218.0
920.0,245.0
925.0,133.0
930.0,140.0
935.0,172.0
940.0,227.0
945.0,122.0
950.0,131.0
955.0,171.0
960.0,221.0
965.0,169.0
970.0,179.0
975.0,170.0
980.0,127.0
985.0,131.0
990.0,65.0
995.0,71.0
1000.0,96.0
1005.0,84.0
1010.0,49.0
1015.0,84.0
1020.0,137.0
1025.0,111.0
1030.0,66.0
1035.0,106.0
1040.0,119.0
1045.0,146.0
1050.0,199.0
1055.0,201.0
1060.0,229.0
1065.0,195.0
1070.0,233.0
1075.0,291.0
1080.0,351.0
1085.0,382.0
1090.0,315.0
1095.0,173.0
1100.0,225.0
1105.0,285.0
1110.0,354.0
1115.0,415.0
1120.0,417.0
1125.0,274.0
1130.0,236.0
1135.0,187.0
1140.0,221.0
1145.0,267.0
1150.0,260.0
1155.0,264.0
1160.0,342.0
1165.0,369.0
1170.0,310.0
1175.0,312.0
1180.0,195.0
1185.0,168.0
1190.0,213.0
1195.0,211.0
1200.0,138.0
1205.0,110.0
1210.0,127.0
1215.0,169.0
1220.0,107.0
1225.0,149.0
1230.0,191.0
1235.0,237.0
1240.0,281.0
1245.0,88.0
1250.0,81.0
1255.0,109.0
1260.0,125.0
1265.0,129.0
1270.0,121.0
1275.0,46.0
1280.0,48.0
1285.0,76.0
1290.0,122.0
1295.0,146.0
1300.0,201.0
1305.0,222.0
1310.0,260.0
1315.0,308.0
1320.0,198.0
1325.0,179.0
1330.0,182.0
1335.0,170.0
1340.0,93.0
1345.0,28.0
1350.0,31.0
1355.0,54.0
1360.0,88.0
1365.0,123.0
1370.0,117.0
1375.0,141.0
1380.0,199.0
1385.0,229.0
1390.0,286.0
1395.0,357.0
1400.0,305.0
1405.0,369.0
1410.0,315.0
1415.0,206.0
1420.0,168.0
1425.0,191.0
1430.0,193.0
1435.0,168.0
1440.0,205.0
1445.0,243.0
1450.0,295.0
1455.0,354.0
1460.0,331.0
1465.0,390.0
1470.0,380.0
1475.0,421.0
1480.0,243.0
1485.0,178.0
1490.0,190.0
1495.0,126.0
1500.0,118.0
1505.0,125.0
1510.0,126.0
1515.0,137.0
1520.0,155.0
1525.0,200.0
1530.0,223.0
1535.0,287.0
1540.0,249.0
1545.0,298.0
1550.0,363.0
1555.0,428.0
1560.0,254.0
1565.0,294.0
1570.0,167.0
1575.0,202.0
1580.0,247.0
1585.0,292.0
1590.0,346.0
1595.0,420.0
1600.0,439.0
1605.0,412.0
1610.0,277.0
