sim_time,sys_total_wait_time
0.0,0.0
5.0,0.0
10.0,0.0
15.0,0.0
20.0,0.0
25.0,0.0
30.0,0.0
35.0,2.0
40.0,13.0
45.0,33.0
50.0,26.0
55.0,36.0
60.0,6.0
65.0,12.0
70.0,16.0
75.0,29.0
80.0,44.0
85.0,74.0
90.0,91.0
95.0,82.0
100.0,111.0
105.0,150.0
110.0,190.0
115.0,61.0
120.0,49.0
125.0,41.0
130.0,43.0
135.0,57.0
140.0,56.0
145.0,33.0
150.0,46.0
155.0,45.0
160.0,60.0
165.0,42.0
170.0,58.0
175.0,81.0
180.0,111.0
185.0,104.0
190.0,88.0
195.0,85.0
200.0,101.0
205.0,121.0
210.0,78.0
215.0,103.0
220.0,136.0
225.0,173.0
230.0,233.0
235.0,264.0
240.0,301.0
245.0,261.0
250.0,333.0
255.0,361.0
260.0,270.0
265.0,322.0
270.0,322.0
275.0,324.0
280.0,372.0
285.0,276.0
290.0,341.0
295.0,424.0
300.0,346.0
305.0,411.0
310.0,299.0
315.0,360.0
320.0,423.0
325.0,157.0
330.0,164.0
335.0,199.0
340.0,217.0
345.0,219.0
350.0,272.0
355.0,353.0
360.0,405.0
365.0,428.0
370.0,410.0
375.0,440.0
380.0,509.0
385.0,352.0
390.0,287.0
395.0,367.0
400.0,404.0
405.0,192.0
410.0,29.0
415.0,43.0
420.0,78.0
425.0,96.0
430.0,105.0
435.0,154.0
440.0,159.0
445.0,124.0
450.0,174.0
455.0,167.0
460.0,154.0
465.0,210.0
470.0,202.0
475.0,213.0
480.0,250.0
485.0,214.0
490.0,256.0
495.0,239.0
500.0,287.0
505.0,347.0
510.0,338.0
515.0,319.0
520.0,272.0
525.0,170.0
530.0,71.0
535.0,91.0
540.0,127.0
545.0,201.0
550.0,284.0
555.0,400.0
560.0,361.0
565.0,406.0
570.0,402.0
575.0,215.0
580.0,270.0
585.0,264.0
590.0,260.0
595.0,330.0
600.0,295.0
605.0,351.0
610.0,304.0
615.0,364.0
620.0,337.0
625.0,395.0
630.0,432.0
635.0,501.0
640.0,605.0
645.0,324.0
650.0,223.0
655.0,214.0
660.0,105.0
665.0,138.0
670.0,145.0
675.0,175.0
680.0,228.0
685.0,166.0
690.0,86.0
695.0,106.0
700.0,114.0
705.0,157.0
710.0,209.0
715.0,260.0
720.0,320.0
725.0,365.0
730.0,435.0
735.0,486.0
740.0,564.0
745.0,426.0
750.0,326.0
755.0,377.0
760.0,421.0
765.0,394.0
770.0,458.0
775.0,374.0
780.0,429.0
785.0,436.0
790.0,353.0
795.0,332.0
800.0,373.0
805.0,405.0
810.0,464.0
815.0,523.0
820.0,346.0
825.0,407.0
830.0,478.0
835.0,300.0
840.0,318.0
845.0,272.0
850.0,45.0
855.0,58.0
860.0,83.0
865.0,127.0
870.0,170.0
875.0,232.0
880.0,315.0
885.0,415.0
890.0,443.0
895.0,344.0
900.0,332.0
905.0,322.0
910.0,367.0
915.0,336.0
920.0,358.0
925.0,218.0
930.0,254.0
935.0,279.0
940.0,324.0
945.0,289.0
950.0,268.0
955.0,298.0
960.0,347.0
965.0,370.0
970.0,375.0
975.0,394.0
980.0,445.0
985.0,492.0
990.0,518.0
995.0,140.0
1000.0,172.0
1005.0,208.0
1010.0,199.0
1015.0,221.0
1020.0,90.0
1025.0,96.0
1030.0,152.0
1035.0,169.0
1040.0,194.0
1045.0,236.0
1050.0,320.0
1055.0,393.0
1060.0,453.0
1065.0,366.0
1070.0,401.0
1075.0,462.0
1080.0,243.0
1085.0,204.0
1090.0,158.0
1095.0,199.0
1100.0,230.0
1105.0,255.0
1110.0,302.0
1115.0,226.0
1120.0,306.0
1125.0,307.0
1130.0,257.0
1135.0,194.0
1140.0,223.0
1145.0,258.0
1150.0,279.0
1155.0,335.0
1160.0,118.0
1165.0,94.0
1170.0,70.0
1175.0,35.0
1180.0,46.0
1185.0,3.0
1190.0,18.0
1195.0,61.0
1200.0,76.0
1205.0,83.0
1210.0,113.0
1215.0,137.0
1220.0,132.0
1225.0,177.0
1230.0,46.0
1235.0,74.0
1240.0,120.0
1245.0,91.0
1250.0,104.0
1255.0,70.0
1260.0,24.0
1265.0,34.0
1270.0,66.0
1275.0,81.0
1280.0,119.0
1285.0,119.0
1290.0,171.0
1295.0,188.0
1300.0,224.0
1305.0,278.0
1310.0,215.0
1315.0,266.0
1320.0,267.0
1325.0,287.0
1330.0,233.0
1335.0,185.0
1340.0,195.0
1345.0,142.0
1350.0,66.0
1355.0,105.0
1360.0,90.0
1365.0,143.0
1370.0,178.0
1375.0,175.0
1380.0,186.0
1385.0,223.0
1390.0,250.0
1395.0,318.0
1400.0,101.0
1405.0,156.0
1410.0,139.0
1415.0,180.0
1420.0,232.0
1425.0,242.0
1430.0,303.0
1435.0,145.0
1440.0,107.0
1445.0,97.0
1450.0,111.0
1455.0,150.0
1460.0,182.0
1465.0,160.0
1470.0,204.0
1475.0,217.0
1480.0,119.0
1485.0,98.0
1490.0,118.0
1495.0,115.0
1500.0,133.0
1505.0,152.0
1510.0,81.0
1515.0,122.0
1520.0,172.0
1525.0,112.0
1530.0,160.0
1535.0,216.0
1540.0,235.0
1545.0,205.0
1550.0,107.0
1555.0,142.0
1560.0,190.0
1565.0,214.0
1570.0,269.0
1575.0,318.0
1580.0,378.0
1585.0,243.0
1590.0,304.0
1595.0,301.0
1600.0,377.0
1605.0,365.0
1610.0,325.0
