episode,SF-GMPPO_trial_1,SF-GMPPO_trial_2,SF-GMPPO_trial_3,SF-GMPPO_trial_4,SF-GMPPO_trial_5,,MAPPO_trial_1,MAPPO_trial_2,MAPPO_trial_3,MAPPO_trial_4,MAPPO_trial_5,,MA2C_trial_1,MA2C_trial_2,MA2C_trial_3,MA2C_trial_4,MA2C_trial_5,,IPPO_trial_1,IPPO_trial_2,IPPO_trial_3,IPPO_trial_4,IPPO_trial_5
2,40.08492007,25.54607018,132.46429,-642.8063765,-3.149062666,,-255.7858791,-490.1798393,53.37494299,132.46429,-350.8718115,,-755.527963,257.2281196,-255.7858791,-18.2156977,53.37494299,,243.0731003,281.0061501,148.1538724,103.2146317,260.3544445
3,268.7326727,194.9513964,270.6930965,252.8066416,250.1179629,,307.4775624,116.1399224,175.5528348,270.6930965,127.3153932,,173.8310621,56.573414,307.4775624,109.4946197,175.5528348,,206.53574,204.8113554,188.2884488,245.5353168,277.3050822
4,311.4143689,249.1731854,249.233378,123.070938,212.8131359,,314.5936986,304.694482,347.2778963,249.233378,297.0391126,,345.4588135,364.9536566,314.5936986,216.6598649,347.2778963,,222.6926025,263.317897,383.8148064,286.5367106,262.5928127
5,263.0419617,245.0811721,311.929592,359.0188011,342.1568503,,234.2534133,288.8822079,270.4576445,311.929592,253.4678367,,228.1453314,216.7024702,234.2534133,157.6955682,270.4576445,,187.7175245,275.5028199,389.9097258,283.9450969,284.2679288
6,302.195946,288.0023224,311.9302037,276.1761791,419.3912199,,385.063333,339.1666249,282.3695653,311.9302037,367.2648028,,286.1055263,433.499555,385.063333,392.9248714,282.3695653,,390.3621341,418.4030444,339.9025091,376.8489233,472.9111779
7,335.5821254,415.6624225,361.4300235,288.9811377,306.6286297,,292.8194891,300.3113347,259.806098,361.4300235,198.468474,,350.6029564,319.2894521,292.8194891,329.6361017,259.806098,,299.8433427,424.7256477,468.8451886,426.5649565,328.0248382
8,324.0848171,494.0845483,335.6978557,386.0656139,415.5571872,,398.9823223,369.8354748,232.5067104,335.6978557,328.8840381,,345.4099088,355.0292477,398.9823223,370.5984515,232.5067104,,288.40155,307.2339656,445.7234654,490.6078473,490.3614066
9,418.8694669,290.3297172,446.3848037,354.3886594,376.8042784,,394.0456903,251.7038952,341.6167098,446.3848037,348.399898,,438.0610777,286.1360659,394.0456903,278.1318045,341.6167098,,406.5381308,359.6220688,431.7120479,339.6673787,400.7953287
10,315.6657712,331.8718067,305.9148701,326.5074525,395.7253553,,365.0738981,268.4690164,352.7380016,305.9148701,456.6205566,,395.793575,369.5562997,365.0738981,271.6130864,352.7380016,,356.5722594,427.8492559,262.7427495,416.9357484,407.9462955
11,380.9055602,471.1831861,487.6339252,420.5728302,354.8929154,,388.8716903,451.0665439,393.7388108,487.6339252,334.4886757,,404.3119995,289.7432168,388.8716903,359.7568877,393.7388108,,343.873271,346.8151105,415.9286342,469.0429649,553.8929349
12,397.1345915,325.9056786,445.2895402,446.4696183,444.9104319,,419.9650168,378.8692357,410.5409717,445.2895402,284.5116173,,448.8292708,298.5583833,419.9650168,414.2283761,410.5409717,,371.0635277,281.5181136,619.3756874,392.9492992,323.3195129
13,372.5116161,469.625402,588.43448,521.7234471,437.5445103,,400.0538012,426.9642602,307.7425336,588.43448,305.7743678,,382.8560407,417.3871562,400.0538012,342.6536016,307.7425336,,350.5634265,317.2657454,482.3376404,394.1258867,483.3262409
14,398.6287363,462.8717756,387.570686,429.8666563,468.5107093,,458.7438231,343.2612388,324.9223939,387.570686,297.2689929,,410.6414054,359.7247217,458.7438231,334.0558208,324.9223939,,454.2838008,293.3951165,375.646544,388.6699379,350.1051557
15,371.3379145,503.8417301,534.0489027,348.1367473,478.3232447,,465.6696431,400.6194439,313.381444,534.0489027,377.922314,,431.6354763,396.3059638,465.6696431,392.121965,313.381444,,445.5818394,287.8571449,354.2221281,428.7748515,518.7508357
16,397.6996119,667.5847119,506.2471981,560.6878511,538.9924162,,601.3396053,324.6679357,434.6470275,506.2471981,376.086693,,432.8813447,285.9893621,601.3396053,344.7786545,434.6470275,,441.343888,264.1202384,475.0185418,433.5307203,459.2652404
17,524.4055599,521.9568037,660.7824214,500.1970306,553.8548444,,577.9376145,531.5026632,560.049144,660.7824214,388.8688247,,486.0384038,381.0236628,577.9376145,352.361647,560.049144,,451.9448451,404.0658512,389.8867694,394.9679672,451.8114771
18,587.0500914,532.6123036,546.0748361,588.5739011,466.3409685,,650.2908133,488.7376863,462.75944,546.0748361,482.5857259,,382.6725193,471.3542824,650.2908133,405.6942423,462.75944,,463.3743364,326.8004634,509.9290378,484.8471987,460.2838808
19,677.5499961,635.2534899,745.8775067,686.9784031,568.5856054,,584.2622424,606.0447925,325.3394515,745.8775067,454.0435849,,489.8443071,445.5273096,584.2622424,365.5486232,325.3394515,,415.0548569,382.2326928,354.8110781,530.0124819,483.3997515
20,725.2623206,544.2432406,577.0470052,516.4858343,621.2658178,,613.3840962,519.1899905,455.259879,577.0470052,494.301742,,380.0790157,560.3966664,613.3840962,244.0215015,455.259879,,450.0451963,297.5872445,295.6339908,356.0266831,429.8893241
21,549.3979501,674.6876287,587.6257222,578.4940483,379.8461698,,592.7520795,489.4173203,470.5031315,587.6257222,431.8463649,,650.1266623,410.7465173,592.7520795,498.2842822,470.5031315,,295.1751515,272.2285119,522.8808809,526.312708,444.6882568
22,606.9200883,591.5259224,697.4398605,531.4006068,602.1582101,,510.7325104,487.4977427,449.0608193,697.4398605,388.17576,,441.6722311,556.1871292,510.7325104,357.333234,449.0608193,,509.9030398,330.9921103,534.1678823,442.2173482,544.9415705
23,685.634139,758.054015,605.8405646,606.3867712,573.2015541,,515.5399323,587.1486362,557.5786117,605.8405646,533.6665765,,425.3120235,507.9243054,515.5399323,417.653771,557.5786117,,369.7455932,446.0673989,373.0231944,416.1273758,510.309396
24,641.9756341,596.6849537,580.9287685,679.3226273,498.967849,,625.2297804,629.3092297,575.6948966,580.9287685,451.7760216,,555.0560274,497.2065908,625.2297804,391.3616685,575.6948966,,494.0860227,280.0497385,559.3020244,522.1853307,398.2588276
25,752.1630515,728.6557869,827.1478308,614.3908611,723.0997875,,533.0601577,552.5219901,481.6118768,827.1478308,555.9113885,,509.8782272,530.6428374,533.0601577,484.3891025,481.6118768,,389.4886067,240.0136238,474.3153734,574.0486515,589.6792995
26,640.2441752,814.3668349,800.2628535,700.8408818,692.3106753,,632.2860237,592.0893693,459.2284179,800.2628535,482.459716,,472.4122158,462.2484585,632.2860237,391.5951167,459.2284179,,377.5365572,371.4732517,436.1099597,478.5476133,393.2339107
27,785.7943929,669.1485116,619.7812924,681.7340526,562.5500078,,611.7654339,649.5595126,624.5848084,619.7812924,436.0638459,,538.736531,382.9473777,611.7654339,435.2818722,624.5848084,,542.3742184,304.3902319,408.4510483,355.5829074,582.6150549
28,632.0954,651.1479423,662.6462898,685.8946637,592.5192487,,636.5990212,448.8713569,620.6621701,662.6462898,488.767443,,447.7893003,411.1832217,636.5990212,306.8773921,620.6621701,,425.2045463,185.7193232,453.8187489,401.000938,380.4622329
29,715.2479247,634.3085571,614.2352343,720.1936772,698.7557102,,763.8881413,693.9580502,479.6341895,614.2352343,321.3577965,,484.2086997,455.472888,763.8881413,345.4180589,479.6341895,,475.3943585,374.3402887,481.2647338,541.2551059,567.2482564
30,677.1160636,724.7149305,611.5663625,716.7579153,727.2954069,,631.7083544,587.8798836,521.8378518,611.5663625,570.6670888,,447.2997949,477.06312,631.7083544,350.5661389,521.8378518,,387.2970841,332.214547,517.3552715,328.0988688,510.8486195
