sim_time,sys_total_stopped
5.0,1
10.0,1
15.0,0
20.0,0
25.0,1
30.0,2
35.0,3
40.0,5
45.0,4
50.0,4
55.0,5
60.0,4
65.0,7
70.0,7
75.0,9
80.0,10
85.0,12
90.0,17
95.0,17
100.0,20
105.0,25
110.0,25
115.0,23
120.0,25
125.0,23
130.0,28
135.0,26
140.0,29
145.0,26
150.0,21
155.0,29
160.0,34
165.0,44
170.0,42
175.0,43
180.0,42
185.0,46
190.0,48
195.0,53
200.0,51
205.0,63
210.0,64
215.0,62
220.0,62
225.0,67
230.0,67
235.0,68
240.0,72
245.0,69
250.0,77
255.0,75
260.0,75
265.0,80
270.0,75
275.0,79
280.0,77
285.0,71
290.0,68
295.0,54
300.0,60
305.0,61
310.0,67
315.0,62
320.0,74
325.0,74
330.0,81
335.0,80
340.0,89
345.0,92
350.0,95
355.0,101
360.0,103
365.0,101
370.0,98
375.0,108
380.0,104
385.0,99
390.0,96
395.0,88
400.0,98
405.0,107
410.0,103
415.0,101
420.0,103
425.0,109
430.0,108
435.0,114
440.0,119
445.0,111
450.0,116
455.0,115
460.0,128
465.0,131
470.0,133
475.0,133
480.0,132
485.0,120
490.0,119
495.0,122
500.0,129
505.0,134
510.0,133
515.0,136
520.0,135
525.0,121
530.0,119
535.0,134
540.0,137
545.0,134
550.0,149
555.0,144
560.0,152
565.0,156
570.0,149
575.0,163
580.0,164
585.0,158
590.0,168
595.0,164
600.0,158
605.0,155
610.0,165
615.0,156
620.0,152
625.0,153
630.0,145
635.0,147
640.0,138
645.0,134
650.0,128
655.0,128
660.0,125
665.0,114
670.0,112
675.0,115
680.0,112
685.0,127
690.0,136
695.0,145
700.0,148
705.0,160
710.0,166
715.0,150
720.0,133
725.0,135
730.0,133
735.0,149
740.0,148
745.0,155
750.0,171
755.0,169
760.0,167
765.0,166
770.0,173
775.0,177
780.0,165
785.0,185
790.0,165
795.0,158
800.0,157
805.0,168
810.0,168
815.0,174
820.0,176
825.0,182
830.0,192
835.0,209
840.0,205
845.0,212
850.0,216
855.0,213
860.0,217
865.0,223
870.0,200
875.0,195
880.0,193
885.0,195
890.0,205
895.0,197
900.0,196
905.0,199
910.0,203
915.0,207
920.0,197
925.0,207
930.0,206
935.0,220
940.0,235
945.0,243
950.0,244
955.0,241
960.0,249
965.0,242
970.0,218
975.0,215
980.0,216
985.0,233
990.0,233
995.0,224
1000.0,209
1005.0,214
1010.0,214
1015.0,221
1020.0,225
1025.0,226
1030.0,234
1035.0,218
1040.0,234
1045.0,245
1050.0,258
1055.0,261
1060.0,249
1065.0,249
1070.0,250
1075.0,244
1080.0,236
1085.0,234
1090.0,235
1095.0,240
1100.0,249
1105.0,250
1110.0,251
1115.0,254
1120.0,249
1125.0,248
1130.0,247
1135.0,249
1140.0,251
1145.0,253
1150.0,248
1155.0,246
1160.0,248
1165.0,233
1170.0,241
1175.0,257
1180.0,258
1185.0,267
1190.0,267
1195.0,264
1200.0,277
1205.0,287
1210.0,274
1215.0,262
1220.0,239
1225.0,220
1230.0,213
1235.0,207
1240.0,241
1245.0,234
1250.0,226
1255.0,219
1260.0,225
1265.0,245
1270.0,259
1275.0,269
1280.0,277
1285.0,265
1290.0,279
1295.0,285
1300.0,287
1305.0,273
1310.0,272
1315.0,290
1320.0,284
1325.0,286
1330.0,268
1335.0,252
1340.0,238
1345.0,247
1350.0,261
1355.0,261
1360.0,272
1365.0,269
1370.0,277
1375.0,276
1380.0,276
1385.0,271
1390.0,275
1395.0,291
1400.0,304
1405.0,293
1410.0,276
1415.0,266
1420.0,260
1425.0,263
1430.0,259
1435.0,272
1440.0,274
1445.0,283
1450.0,291
1455.0,296
1460.0,297
1465.0,284
1470.0,271
1475.0,263
1480.0,259
1485.0,263
1490.0,267
1495.0,285
1500.0,294
1505.0,286
1510.0,283
1515.0,283
1520.0,277
1525.0,282
1530.0,278
1535.0,273
1540.0,269
1545.0,251
1550.0,234
1555.0,248
1560.0,271
1565.0,252
1570.0,238
1575.0,229
1580.0,237
1585.0,253
1590.0,264
1595.0,264
1600.0,271
1605.0,273
1610.0,275
1615.0,265
1620.0,264
1625.0,266
1630.0,267
1635.0,279
1640.0,275
1645.0,252
1650.0,259
1655.0,238
1660.0,227
1665.0,229
1670.0,234
1675.0,248
1680.0,249
1685.0,251
1690.0,256
1695.0,269
1700.0,264
1705.0,277
1710.0,291
1715.0,283
1720.0,279
1725.0,267
1730.0,243
1735.0,227
1740.0,244
1745.0,254
1750.0,267
1755.0,272
1760.0,277
1765.0,273
1770.0,263
1775.0,276
1780.0,273
1785.0,272
1790.0,279
1795.0,274
1800.0,269
1805.0,274
1810.0,266
1815.0,263
1820.0,252
1825.0,237
1830.0,231
1835.0,226
1840.0,225
1845.0,241
1850.0,250
1855.0,268
1860.0,272
1865.0,284
1870.0,295
1875.0,275
1880.0,257
1885.0,255
1890.0,250
1895.0,259
1900.0,248
1905.0,263
1910.0,266
1915.0,258
1920.0,264
1925.0,272
1930.0,263
1935.0,270
1940.0,279
1945.0,276
1950.0,275
1955.0,289
1960.0,305
1965.0,303
1970.0,297
1975.0,285
1980.0,287
1985.0,287
1990.0,281
1995.0,279
2000.0,260
2005.0,245
2010.0,245
2015.0,258
2020.0,270
2025.0,260
2030.0,238
2035.0,231
2040.0,235
2045.0,218
2050.0,228
2055.0,235
2060.0,220
2065.0,235
2070.0,247
2075.0,250
2080.0,243
2085.0,241
2090.0,250
2095.0,245
2100.0,253
2105.0,256
2110.0,263
2115.0,251
2120.0,228
2125.0,215
2130.0,191
2135.0,211
2140.0,199
2145.0,187
2150.0,190
2155.0,194
2160.0,202
2165.0,207
2170.0,208
2175.0,214
2180.0,212
2185.0,210
2190.0,213
2195.0,215
2200.0,230
2205.0,232
2210.0,247
2215.0,256
2220.0,271
2225.0,277
2230.0,261
2235.0,271
2240.0,276
2245.0,258
2250.0,265
2255.0,261
2260.0,264
2265.0,238
2270.0,249
2275.0,251
2280.0,223
2285.0,204
2290.0,210
2295.0,226
2300.0,221
2305.0,212
2310.0,210
2315.0,198
2320.0,187
2325.0,216
2330.0,224
2335.0,236
2340.0,233
2345.0,216
2350.0,205
2355.0,195
2360.0,201
2365.0,217
2370.0,246
2375.0,250
2380.0,238
2385.0,229
2390.0,225
2395.0,222
2400.0,235
2405.0,227
2410.0,240
2415.0,231
2420.0,219
2425.0,212
2430.0,218
2435.0,219
2440.0,238
2445.0,241
2450.0,244
2455.0,234
2460.0,214
2465.0,214
2470.0,209
2475.0,204
2480.0,207
2485.0,213
2490.0,205
2495.0,201
2500.0,211
2505.0,227
2510.0,229
2515.0,229
2520.0,224
2525.0,224
2530.0,226
2535.0,228
2540.0,216
2545.0,210
2550.0,219
2555.0,221
2560.0,210
2565.0,197
2570.0,197
2575.0,206
2580.0,220
2585.0,221
2590.0,212
2595.0,213
2600.0,217
2605.0,245
2610.0,239
2615.0,214
2620.0,223
2625.0,238
2630.0,241
2635.0,219
2640.0,214
2645.0,216
2650.0,237
2655.0,239
2660.0,230
2665.0,230
2670.0,206
2675.0,211
2680.0,209
2685.0,217
2690.0,209
2695.0,198
2700.0,216
2705.0,217
2710.0,228
2715.0,213
2720.0,213
2725.0,221
2730.0,217
2735.0,213
2740.0,225
2745.0,224
2750.0,225
2755.0,240
2760.0,242
2765.0,233
2770.0,235
2775.0,245
2780.0,226
2785.0,239
2790.0,257
2795.0,273
2800.0,267
2805.0,262
2810.0,252
2815.0,237
2820.0,233
2825.0,237
2830.0,247
2835.0,250
2840.0,241
2845.0,224
2850.0,222
2855.0,238
2860.0,242
2865.0,242
2870.0,253
2875.0,258
2880.0,262
2885.0,264
2890.0,270
2895.0,261
2900.0,266
2905.0,268
2910.0,250
2915.0,250
2920.0,252
2925.0,255
2930.0,263
2935.0,256
2940.0,272
2945.0,271
2950.0,263
2955.0,263
2960.0,230
2965.0,208
2970.0,215
2975.0,233
2980.0,234
2985.0,232
2990.0,236
2995.0,239
3000.0,230
