sim_time,sys_total_stopped
5.0,1
10.0,1
15.0,0
20.0,0
25.0,2
30.0,3
35.0,3
40.0,4
45.0,3
50.0,4
55.0,3
60.0,4
65.0,6
70.0,9
75.0,10
80.0,13
85.0,12
90.0,16
95.0,19
100.0,20
105.0,19
110.0,18
115.0,19
120.0,25
125.0,24
130.0,27
135.0,32
140.0,31
145.0,33
150.0,40
155.0,38
160.0,38
165.0,36
170.0,36
175.0,41
180.0,37
185.0,40
190.0,41
195.0,44
200.0,47
205.0,43
210.0,43
215.0,46
220.0,48
225.0,44
230.0,38
235.0,42
240.0,50
245.0,48
250.0,50
255.0,57
260.0,59
265.0,67
270.0,64
275.0,62
280.0,71
285.0,78
290.0,77
295.0,82
300.0,83
305.0,78
310.0,82
315.0,88
320.0,83
325.0,87
330.0,83
335.0,83
340.0,83
345.0,86
350.0,102
355.0,102
360.0,109
365.0,115
370.0,116
375.0,115
380.0,111
385.0,112
390.0,94
395.0,98
400.0,104
405.0,107
410.0,99
415.0,114
420.0,125
425.0,125
430.0,117
435.0,110
440.0,112
445.0,116
450.0,111
455.0,111
460.0,114
465.0,107
470.0,104
475.0,108
480.0,117
485.0,130
490.0,136
495.0,140
500.0,148
505.0,127
510.0,117
515.0,117
520.0,107
525.0,122
530.0,132
535.0,135
540.0,128
545.0,136
550.0,127
555.0,141
560.0,143
565.0,153
570.0,155
575.0,147
580.0,149
585.0,162
590.0,175
595.0,171
600.0,163
605.0,167
610.0,157
615.0,143
620.0,149
625.0,144
630.0,138
635.0,145
640.0,159
645.0,164
650.0,175
655.0,156
660.0,155
665.0,146
670.0,144
675.0,137
680.0,137
685.0,151
690.0,154
695.0,150
700.0,160
705.0,166
710.0,171
715.0,174
720.0,183
725.0,183
730.0,182
735.0,178
740.0,189
745.0,199
750.0,200
755.0,209
760.0,205
765.0,190
770.0,184
775.0,186
780.0,185
785.0,201
790.0,202
795.0,186
800.0,182
805.0,188
810.0,194
815.0,188
820.0,183
825.0,186
830.0,209
835.0,213
840.0,223
845.0,216
850.0,219
855.0,205
860.0,203
865.0,213
870.0,227
875.0,236
880.0,225
885.0,221
890.0,231
895.0,243
900.0,233
905.0,237
910.0,231
915.0,232
920.0,227
925.0,212
930.0,198
935.0,183
940.0,197
945.0,211
950.0,209
955.0,209
960.0,210
965.0,215
970.0,207
975.0,210
980.0,208
985.0,223
990.0,231
995.0,230
1000.0,237
1005.0,228
1010.0,222
1015.0,222
1020.0,224
1025.0,224
1030.0,224
1035.0,220
1040.0,221
1045.0,235
1050.0,236
1055.0,247
1060.0,248
1065.0,239
1070.0,244
1075.0,254
1080.0,251
1085.0,268
1090.0,253
1095.0,252
1100.0,238
1105.0,248
1110.0,262
1115.0,264
1120.0,252
1125.0,257
1130.0,248
1135.0,250
1140.0,235
1145.0,236
1150.0,251
1155.0,255
1160.0,261
1165.0,254
1170.0,231
1175.0,215
1180.0,217
1185.0,220
1190.0,224
1195.0,231
1200.0,232
1205.0,237
1210.0,236
1215.0,242
1220.0,247
1225.0,264
1230.0,264
1235.0,274
1240.0,282
1245.0,264
1250.0,260
1255.0,255
1260.0,272
1265.0,264
1270.0,266
1275.0,270
1280.0,275
1285.0,275
1290.0,271
1295.0,274
1300.0,282
1305.0,285
1310.0,273
1315.0,277
1320.0,251
1325.0,245
1330.0,252
1335.0,271
1340.0,277
1345.0,275
1350.0,255
1355.0,249
1360.0,262
1365.0,254
1370.0,249
1375.0,226
1380.0,222
1385.0,227
1390.0,232
1395.0,216
1400.0,201
1405.0,197
1410.0,205
1415.0,203
1420.0,184
1425.0,180
1430.0,203
1435.0,220
1440.0,226
1445.0,224
1450.0,222
1455.0,222
1460.0,221
1465.0,246
1470.0,248
1475.0,237
1480.0,224
1485.0,227
1490.0,225
1495.0,233
1500.0,241
1505.0,238
1510.0,241
1515.0,242
1520.0,251
1525.0,257
1530.0,268
1535.0,300
1540.0,294
1545.0,284
1550.0,282
1555.0,285
1560.0,291
1565.0,287
1570.0,291
1575.0,294
1580.0,286
1585.0,272
1590.0,257
1595.0,287
1600.0,303
1605.0,314
1610.0,305
1615.0,277
1620.0,253
1625.0,235
1630.0,222
1635.0,219
1640.0,196
1645.0,193
1650.0,205
1655.0,222
1660.0,213
1665.0,232
1670.0,237
1675.0,226
1680.0,227
1685.0,222
1690.0,219
1695.0,230
1700.0,242
1705.0,250
1710.0,273
1715.0,279
1720.0,282
1725.0,282
1730.0,291
1735.0,298
1740.0,295
1745.0,291
1750.0,277
1755.0,264
1760.0,255
1765.0,257
1770.0,271
1775.0,262
1780.0,273
1785.0,263
1790.0,256
1795.0,256
1800.0,263
1805.0,263
1810.0,265
1815.0,266
1820.0,267
1825.0,267
1830.0,249
1835.0,262
1840.0,266
1845.0,266
1850.0,256
1855.0,268
1860.0,277
1865.0,273
1870.0,249
1875.0,241
1880.0,247
1885.0,245
1890.0,248
1895.0,250
1900.0,253
1905.0,263
1910.0,259
1915.0,246
1920.0,246
1925.0,258
1930.0,259
1935.0,266
1940.0,250
1945.0,233
1950.0,220
1955.0,229
1960.0,235
1965.0,239
1970.0,234
1975.0,241
1980.0,261
1985.0,264
1990.0,252
1995.0,265
2000.0,274
2005.0,277
2010.0,290
2015.0,290
2020.0,282
2025.0,269
2030.0,276
2035.0,292
2040.0,297
2045.0,291
2050.0,297
2055.0,281
2060.0,262
2065.0,266
2070.0,282
2075.0,282
2080.0,256
2085.0,252
2090.0,247
2095.0,251
2100.0,252
2105.0,226
2110.0,230
2115.0,223
2120.0,235
2125.0,224
2130.0,237
2135.0,240
2140.0,232
2145.0,223
2150.0,239
2155.0,236
2160.0,254
2165.0,264
2170.0,250
2175.0,234
2180.0,237
2185.0,238
2190.0,251
2195.0,239
2200.0,226
2205.0,225
2210.0,239
2215.0,258
2220.0,259
2225.0,263
2230.0,261
2235.0,257
2240.0,240
2245.0,259
2250.0,241
2255.0,235
2260.0,240
2265.0,215
2270.0,223
2275.0,240
2280.0,246
2285.0,243
2290.0,234
2295.0,243
2300.0,247
2305.0,256
2310.0,256
2315.0,268
2320.0,266
2325.0,281
2330.0,281
2335.0,278
2340.0,274
2345.0,246
2350.0,246
2355.0,252
2360.0,242
2365.0,259
2370.0,266
2375.0,250
2380.0,231
2385.0,220
2390.0,223
2395.0,234
2400.0,229
2405.0,228
2410.0,232
2415.0,239
2420.0,229
2425.0,245
2430.0,243
2435.0,238
2440.0,237
2445.0,238
2450.0,242
2455.0,256
2460.0,259
2465.0,257
2470.0,259
2475.0,255
2480.0,254
2485.0,256
2490.0,252
2495.0,237
2500.0,246
2505.0,254
2510.0,260
2515.0,241
2520.0,238
2525.0,235
2530.0,247
2535.0,256
2540.0,245
2545.0,241
2550.0,239
2555.0,241
2560.0,241
2565.0,238
2570.0,228
2575.0,224
2580.0,215
2585.0,218
2590.0,221
2595.0,220
2600.0,220
2605.0,230
2610.0,222
2615.0,222
2620.0,214
2625.0,227
2630.0,234
2635.0,231
2640.0,238
2645.0,249
2650.0,253
2655.0,250
2660.0,233
2665.0,229
2670.0,231
2675.0,215
2680.0,206
2685.0,225
2690.0,245
2695.0,259
2700.0,254
2705.0,247
2710.0,256
2715.0,263
2720.0,268
2725.0,273
2730.0,256
2735.0,256
2740.0,231
2745.0,220
2750.0,202
2755.0,209
2760.0,205
2765.0,200
2770.0,191
2775.0,206
2780.0,228
2785.0,229
2790.0,231
2795.0,236
2800.0,241
2805.0,249
2810.0,244
2815.0,239
2820.0,237
2825.0,247
2830.0,262
2835.0,262
2840.0,262
2845.0,251
2850.0,260
2855.0,262
2860.0,258
2865.0,244
2870.0,231
2875.0,226
2880.0,234
2885.0,226
2890.0,207
2895.0,201
2900.0,203
2905.0,205
2910.0,215
2915.0,243
2920.0,260
2925.0,243
2930.0,232
2935.0,203
2940.0,208
2945.0,211
2950.0,202
2955.0,189
2960.0,197
2965.0,200
2970.0,192
2975.0,210
2980.0,213
2985.0,207
2990.0,222
2995.0,220
3000.0,225
