sim_time,sys_total_stopped
5.0,1
10.0,1
15.0,0
20.0,0
25.0,2
30.0,2
35.0,4
40.0,5
45.0,5
50.0,6
55.0,7
60.0,7
65.0,10
70.0,11
75.0,10
80.0,12
85.0,15
90.0,19
95.0,18
100.0,20
105.0,21
110.0,20
115.0,22
120.0,21
125.0,25
130.0,27
135.0,24
140.0,24
145.0,22
150.0,27
155.0,26
160.0,33
165.0,31
170.0,32
175.0,29
180.0,32
185.0,36
190.0,39
195.0,40
200.0,40
205.0,41
210.0,40
215.0,43
220.0,45
225.0,51
230.0,53
235.0,49
240.0,53
245.0,54
250.0,54
255.0,56
260.0,59
265.0,55
270.0,60
275.0,60
280.0,67
285.0,63
290.0,65
295.0,65
300.0,73
305.0,70
310.0,64
315.0,61
320.0,61
325.0,58
330.0,66
335.0,66
340.0,67
345.0,71
350.0,82
355.0,85
360.0,94
365.0,100
370.0,93
375.0,92
380.0,90
385.0,96
390.0,97
395.0,108
400.0,111
405.0,96
410.0,99
415.0,101
420.0,103
425.0,97
430.0,95
435.0,102
440.0,99
445.0,94
450.0,79
455.0,73
460.0,74
465.0,84
470.0,94
475.0,83
480.0,78
485.0,83
490.0,88
495.0,81
500.0,77
505.0,93
510.0,96
515.0,107
520.0,106
525.0,110
530.0,122
535.0,126
540.0,112
545.0,115
550.0,103
555.0,101
560.0,112
565.0,115
570.0,103
575.0,99
580.0,108
585.0,114
590.0,118
595.0,113
600.0,108
605.0,110
610.0,118
615.0,120
620.0,132
625.0,139
630.0,141
635.0,135
640.0,132
645.0,122
650.0,120
655.0,115
660.0,117
665.0,122
670.0,125
675.0,117
680.0,120
685.0,133
690.0,138
695.0,144
700.0,146
705.0,129
710.0,128
715.0,117
720.0,130
725.0,131
730.0,125
735.0,127
740.0,111
745.0,115
750.0,119
755.0,126
760.0,120
765.0,123
770.0,143
775.0,126
780.0,132
785.0,136
790.0,136
795.0,123
800.0,108
805.0,103
810.0,118
815.0,116
820.0,115
825.0,127
830.0,149
835.0,157
840.0,154
845.0,136
850.0,133
855.0,143
860.0,136
865.0,134
870.0,126
875.0,128
880.0,142
885.0,151
890.0,150
895.0,149
900.0,138
905.0,144
910.0,145
915.0,144
920.0,142
925.0,148
930.0,140
935.0,149
940.0,174
945.0,170
950.0,163
955.0,161
960.0,157
965.0,155
970.0,161
975.0,162
980.0,151
985.0,150
990.0,165
995.0,158
1000.0,162
1005.0,157
1010.0,171
1015.0,153
1020.0,153
1025.0,141
1030.0,140
1035.0,144
1040.0,144
1045.0,132
1050.0,142
1055.0,149
1060.0,148
1065.0,156
1070.0,167
1075.0,162
1080.0,151
1085.0,153
1090.0,153
1095.0,145
1100.0,155
1105.0,166
1110.0,168
1115.0,166
1120.0,181
1125.0,189
1130.0,198
1135.0,190
1140.0,197
1145.0,191
1150.0,178
1155.0,176
1160.0,190
1165.0,198
1170.0,194
1175.0,185
1180.0,184
1185.0,181
1190.0,190
1195.0,195
1200.0,201
1205.0,190
1210.0,191
1215.0,201
1220.0,210
1225.0,209
1230.0,193
1235.0,199
1240.0,200
1245.0,198
1250.0,176
1255.0,180
1260.0,188
1265.0,198
1270.0,193
1275.0,193
1280.0,210
1285.0,205
1290.0,203
1295.0,201
1300.0,190
1305.0,178
1310.0,180
1315.0,178
1320.0,170
1325.0,181
1330.0,193
1335.0,196
1340.0,188
1345.0,196
1350.0,202
1355.0,208
1360.0,213
1365.0,223
1370.0,219
1375.0,213
1380.0,213
1385.0,205
1390.0,200
1395.0,171
1400.0,174
1405.0,193
1410.0,195
1415.0,188
1420.0,169
1425.0,169
1430.0,179
1435.0,191
1440.0,201
1445.0,194
1450.0,202
1455.0,208
1460.0,198
1465.0,193
1470.0,171
1475.0,161
1480.0,157
1485.0,177
1490.0,179
1495.0,185
1500.0,185
1505.0,183
1510.0,180
1515.0,189
1520.0,198
1525.0,183
1530.0,173
1535.0,167
1540.0,180
1545.0,187
1550.0,173
1555.0,178
1560.0,174
1565.0,168
1570.0,163
1575.0,160
1580.0,170
1585.0,179
1590.0,184
1595.0,181
1600.0,174
1605.0,179
1610.0,170
1615.0,171
1620.0,183
1625.0,172
1630.0,169
1635.0,172
1640.0,173
1645.0,162
1650.0,173
1655.0,164
1660.0,177
1665.0,180
1670.0,191
1675.0,200
1680.0,189
1685.0,189
1690.0,191
1695.0,189
1700.0,174
1705.0,153
1710.0,156
1715.0,169
1720.0,179
1725.0,175
1730.0,185
1735.0,178
1740.0,181
1745.0,174
1750.0,191
1755.0,191
1760.0,188
1765.0,166
1770.0,172
1775.0,176
1780.0,180
1785.0,178
1790.0,184
1795.0,183
1800.0,191
1805.0,183
1810.0,180
1815.0,177
1820.0,177
1825.0,181
1830.0,172
1835.0,160
1840.0,155
1845.0,156
1850.0,146
1855.0,153
1860.0,160
1865.0,170
1870.0,183
1875.0,174
1880.0,182
1885.0,186
1890.0,188
1895.0,190
1900.0,176
1905.0,179
1910.0,173
1915.0,190
1920.0,191
1925.0,196
1930.0,202
1935.0,196
1940.0,203
1945.0,185
1950.0,185
1955.0,182
1960.0,177
1965.0,187
1970.0,186
1975.0,192
1980.0,178
1985.0,176
1990.0,178
1995.0,183
2000.0,177
2005.0,160
2010.0,160
2015.0,156
2020.0,145
2025.0,145
2030.0,151
2035.0,138
2040.0,134
2045.0,128
2050.0,134
2055.0,147
2060.0,144
2065.0,147
2070.0,156
2075.0,167
2080.0,150
2085.0,161
2090.0,170
2095.0,170
2100.0,170
2105.0,172
2110.0,190
2115.0,195
2120.0,184
2125.0,165
2130.0,165
2135.0,146
2140.0,163
2145.0,169
2150.0,170
2155.0,179
2160.0,167
2165.0,162
2170.0,162
2175.0,158
2180.0,146
2185.0,142
2190.0,131
2195.0,137
2200.0,137
2205.0,136
2210.0,128
2215.0,137
2220.0,139
2225.0,144
2230.0,158
2235.0,149
2240.0,155
2245.0,156
2250.0,152
2255.0,138
2260.0,147
2265.0,138
2270.0,137
2275.0,133
2280.0,122
2285.0,122
2290.0,124
2295.0,130
2300.0,136
2305.0,149
2310.0,148
2315.0,145
2320.0,139
2325.0,136
2330.0,134
2335.0,145
2340.0,158
2345.0,156
2350.0,153
2355.0,155
2360.0,172
2365.0,186
2370.0,194
2375.0,182
2380.0,179
2385.0,189
2390.0,175
2395.0,169
2400.0,178
2405.0,174
2410.0,163
2415.0,161
2420.0,174
2425.0,174
2430.0,180
2435.0,164
2440.0,177
2445.0,197
2450.0,204
2455.0,192
2460.0,186
2465.0,181
2470.0,188
2475.0,172
2480.0,168
2485.0,162
2490.0,169
2495.0,170
2500.0,174
2505.0,163
2510.0,135
2515.0,116
2520.0,111
2525.0,116
2530.0,140
2535.0,132
2540.0,130
2545.0,134
2550.0,136
2555.0,136
2560.0,137
2565.0,144
2570.0,149
2575.0,146
2580.0,139
2585.0,139
2590.0,141
2595.0,138
2600.0,139
2605.0,140
2610.0,155
2615.0,159
2620.0,154
2625.0,157
2630.0,150
2635.0,131
2640.0,134
2645.0,121
2650.0,126
2655.0,128
2660.0,126
2665.0,135
2670.0,139
2675.0,126
2680.0,132
2685.0,127
2690.0,121
2695.0,128
2700.0,136
2705.0,116
2710.0,117
2715.0,105
2720.0,114
2725.0,142
2730.0,152
2735.0,157
2740.0,167
2745.0,153
2750.0,152
2755.0,148
2760.0,144
2765.0,131
2770.0,136
2775.0,133
2780.0,130
2785.0,132
2790.0,123
2795.0,130
2800.0,126
2805.0,132
2810.0,143
2815.0,148
2820.0,156
2825.0,157
2830.0,146
2835.0,141
2840.0,136
2845.0,133
2850.0,128
2855.0,145
2860.0,140
2865.0,149
2870.0,153
2875.0,143
2880.0,149
2885.0,167
2890.0,162
2895.0,148
2900.0,142
2905.0,145
2910.0,159
2915.0,169
2920.0,153
2925.0,147
2930.0,161
2935.0,172
2940.0,176
2945.0,171
2950.0,168
2955.0,147
2960.0,135
2965.0,142
2970.0,152
2975.0,134
2980.0,140
2985.0,134
2990.0,141
2995.0,146
3000.0,156
