sim_time,sys_total_wait_time
5.0,0.0
10.0,0.0
15.0,0.0
20.0,0.0
25.0,0.0
30.0,5.0
35.0,4.0
40.0,19.0
45.0,29.0
50.0,44.0
55.0,62.0
60.0,55.0
65.0,78.0
70.0,103.0
75.0,142.0
80.0,174.0
85.0,185.0
90.0,260.0
95.0,312.0
100.0,371.0
105.0,489.0
110.0,553.0
115.0,581.0
120.0,647.0
125.0,683.0
130.0,721.0
135.0,602.0
140.0,583.0
145.0,568.0
150.0,509.0
155.0,634.0
160.0,678.0
165.0,840.0
170.0,830.0
175.0,910.0
180.0,1028.0
185.0,1166.0
190.0,1382.0
195.0,1382.0
200.0,1492.0
205.0,1743.0
210.0,1904.0
215.0,1989.0
220.0,2136.0
225.0,2383.0
230.0,2574.0
235.0,2671.0
240.0,2936.0
245.0,2761.0
250.0,2990.0
255.0,2920.0
260.0,3091.0
265.0,3195.0
270.0,2809.0
275.0,3154.0
280.0,3098.0
285.0,3175.0
290.0,3049.0
295.0,2507.0
300.0,2713.0
305.0,2770.0
310.0,2947.0
315.0,3011.0
320.0,3263.0
325.0,3581.0
330.0,3858.0
335.0,4079.0
340.0,4434.0
345.0,4523.0
350.0,4434.0
355.0,4650.0
360.0,4811.0
365.0,4961.0
370.0,5083.0
375.0,5464.0
380.0,5259.0
385.0,5183.0
390.0,5374.0
395.0,5317.0
400.0,5659.0
405.0,5273.0
410.0,5419.0
415.0,5024.0
420.0,5338.0
425.0,5679.0
430.0,6023.0
435.0,6181.0
440.0,5929.0
445.0,5974.0
450.0,6277.0
455.0,6579.0
460.0,7090.0
465.0,7384.0
470.0,7627.0
475.0,7964.0
480.0,8430.0
485.0,6926.0
490.0,6843.0
495.0,6869.0
500.0,7248.0
505.0,7587.0
510.0,7394.0
515.0,7497.0
520.0,7960.0
525.0,7385.0
530.0,7607.0
535.0,8157.0
540.0,8043.0
545.0,8246.0
550.0,8942.0
555.0,8935.0
560.0,9292.0
565.0,9745.0
570.0,10074.0
575.0,10612.0
580.0,11300.0
585.0,11485.0
590.0,12005.0
595.0,12182.0
600.0,11565.0
605.0,11878.0
610.0,12541.0
615.0,12636.0
620.0,13043.0
625.0,13547.0
630.0,12550.0
635.0,12752.0
640.0,11044.0
645.0,11353.0
650.0,8521.0
655.0,6747.0
660.0,6047.0
665.0,5124.0
670.0,4791.0
675.0,5009.0
680.0,5121.0
685.0,5470.0
690.0,5633.0
695.0,5342.0
700.0,5761.0
705.0,6433.0
710.0,6819.0
715.0,6071.0
720.0,6151.0
725.0,6373.0
730.0,5893.0
735.0,6129.0
740.0,6280.0
745.0,6785.0
750.0,7308.0
755.0,7624.0
760.0,7884.0
765.0,7833.0
770.0,8148.0
775.0,8401.0
780.0,7761.0
785.0,8113.0
790.0,8120.0
795.0,8113.0
800.0,8604.0
805.0,8909.0
810.0,8336.0
815.0,8157.0
820.0,8471.0
825.0,8904.0
830.0,9594.0
835.0,10570.0
840.0,10673.0
845.0,11466.0
850.0,12146.0
855.0,12090.0
860.0,12922.0
865.0,13550.0
870.0,12745.0
875.0,12170.0
880.0,12083.0
885.0,12549.0
890.0,13224.0
895.0,12462.0
900.0,12661.0
905.0,13365.0
910.0,14142.0
915.0,14025.0
920.0,13919.0
925.0,14363.0
930.0,14914.0
935.0,15744.0
940.0,16606.0
945.0,17344.0
950.0,17556.0
955.0,18544.0
960.0,19462.0
965.0,18613.0
970.0,16812.0
975.0,16302.0
980.0,16775.0
985.0,17792.0
990.0,17265.0
995.0,15908.0
1000.0,15436.0
1005.0,15834.0
1010.0,15466.0
1015.0,15700.0
1020.0,16172.0
1025.0,16763.0
1030.0,16984.0
1035.0,16629.0
1040.0,16936.0
1045.0,17688.0
1050.0,18756.0
1055.0,19383.0
1060.0,19842.0
1065.0,20619.0
1070.0,21389.0
1075.0,20643.0
1080.0,20204.0
1085.0,20507.0
1090.0,20736.0
1095.0,21518.0
1100.0,22068.0
1105.0,23134.0
1110.0,23960.0
1115.0,24420.0
1120.0,24813.0
1125.0,24825.0
1130.0,25136.0
1135.0,25871.0
1140.0,26686.0
