sim_time,sys_total_wait_time
5.0,0.0
10.0,0.0
15.0,0.0
20.0,0.0
25.0,3.0
30.0,8.0
35.0,17.0
40.0,33.0
45.0,53.0
50.0,74.0
55.0,100.0
60.0,130.0
65.0,105.0
70.0,147.0
75.0,162.0
80.0,202.0
85.0,256.0
90.0,317.0
95.0,338.0
100.0,388.0
105.0,375.0
110.0,462.0
115.0,560.0
120.0,538.0
125.0,642.0
130.0,577.0
135.0,618.0
140.0,658.0
145.0,644.0
150.0,703.0
155.0,664.0
160.0,805.0
165.0,668.0
170.0,764.0
175.0,687.0
180.0,811.0
185.0,843.0
190.0,973.0
195.0,1008.0
200.0,1065.0
205.0,1182.0
210.0,1126.0
215.0,1186.0
220.0,1321.0
225.0,1518.0
230.0,1547.0
235.0,1425.0
240.0,1590.0
245.0,1781.0
250.0,1553.0
255.0,1753.0
260.0,1808.0
265.0,1625.0
270.0,1511.0
275.0,1593.0
280.0,1846.0
285.0,1838.0
290.0,1813.0
295.0,1928.0
300.0,2188.0
305.0,2396.0
310.0,2118.0
315.0,2104.0
320.0,2056.0
325.0,2040.0
330.0,2196.0
335.0,1662.0
340.0,1638.0
345.0,1765.0
350.0,1996.0
355.0,1965.0
360.0,2223.0
365.0,2636.0
370.0,2668.0
375.0,2792.0
380.0,2648.0
385.0,2882.0
390.0,3138.0
395.0,3575.0
400.0,3872.0
405.0,3413.0
410.0,3609.0
415.0,3827.0
420.0,4114.0
425.0,4248.0
430.0,4503.0
435.0,4429.0
440.0,3818.0
445.0,4046.0
450.0,3170.0
455.0,3097.0
460.0,3310.0
465.0,3489.0
470.0,3674.0
475.0,3153.0
480.0,2846.0
485.0,2703.0
490.0,2578.0
495.0,2570.0
500.0,2548.0
505.0,2908.0
510.0,3123.0
515.0,3554.0
520.0,3458.0
525.0,3593.0
530.0,3951.0
535.0,4392.0
540.0,4407.0
545.0,4710.0
550.0,3974.0
555.0,4259.0
560.0,4573.0
565.0,5021.0
570.0,4635.0
575.0,4628.0
580.0,5082.0
585.0,5215.0
590.0,4756.0
595.0,4498.0
600.0,4244.0
605.0,4364.0
610.0,4283.0
615.0,4245.0
620.0,4679.0
625.0,5070.0
630.0,5404.0
635.0,5222.0
640.0,5535.0
645.0,5632.0
650.0,5788.0
655.0,5830.0
660.0,6072.0
665.0,6128.0
670.0,6386.0
675.0,6567.0
680.0,7034.0
685.0,7454.0
690.0,7158.0
695.0,7136.0
700.0,6644.0
705.0,6614.0
710.0,6329.0
715.0,6080.0
720.0,6138.0
725.0,5858.0
730.0,6051.0
735.0,6435.0
740.0,5933.0
745.0,6132.0
750.0,4612.0
755.0,4793.0
760.0,4946.0
765.0,4968.0
770.0,5581.0
775.0,4276.0
780.0,4537.0
785.0,4720.0
790.0,4588.0
795.0,4918.0
800.0,4635.0
805.0,4336.0
810.0,4735.0
815.0,4839.0
820.0,4021.0
825.0,4090.0
830.0,4370.0
835.0,4712.0
840.0,5301.0
845.0,3918.0
850.0,3915.0
855.0,4279.0
860.0,4291.0
865.0,4341.0
870.0,4685.0
875.0,4545.0
880.0,5068.0
885.0,5101.0
890.0,5370.0
895.0,5362.0
900.0,4969.0
905.0,5527.0
910.0,5446.0
915.0,5692.0
920.0,5937.0
925.0,6164.0
930.0,5615.0
935.0,5787.0
940.0,6579.0
945.0,6755.0
950.0,6953.0
955.0,6583.0
960.0,5576.0
965.0,5432.0
970.0,5963.0
975.0,6268.0
980.0,5608.0
985.0,5787.0
990.0,6047.0
995.0,5970.0
1000.0,6340.0
1005.0,6768.0
1010.0,7042.0
1015.0,6608.0
1020.0,6246.0
1025.0,5700.0
1030.0,5712.0
1035.0,5981.0
1040.0,5706.0
1045.0,5014.0
1050.0,5394.0
1055.0,5527.0
1060.0,6107.0
1065.0,5795.0
1070.0,6199.0
1075.0,6094.0
1080.0,6286.0
1085.0,6326.0
1090.0,6524.0
1095.0,6400.0
1100.0,6786.0
1105.0,7387.0
1110.0,7498.0
1115.0,7143.0
1120.0,7680.0
1125.0,7971.0
1130.0,8700.0
1135.0,9039.0
1140.0,9826.0
