sim_time,sys_total_wait_time
5.0,0.0
10.0,0.0
15.0,0.0
20.0,0.0
25.0,0.0
30.0,0.0
35.0,3.0
40.0,16.0
45.0,36.0
50.0,60.0
55.0,70.0
60.0,63.0
65.0,81.0
70.0,120.0
75.0,119.0
80.0,141.0
85.0,177.0
90.0,172.0
95.0,219.0
100.0,285.0
105.0,224.0
110.0,268.0
115.0,304.0
120.0,373.0
125.0,341.0
130.0,422.0
135.0,555.0
140.0,681.0
145.0,710.0
150.0,629.0
155.0,648.0
160.0,690.0
165.0,745.0
170.0,870.0
175.0,981.0
180.0,935.0
185.0,1096.0
190.0,1126.0
195.0,1096.0
200.0,1062.0
205.0,884.0
210.0,995.0
215.0,1087.0
220.0,1072.0
225.0,985.0
230.0,1150.0
235.0,1298.0
240.0,1194.0
245.0,1106.0
250.0,1256.0
255.0,1267.0
260.0,1264.0
265.0,1395.0
270.0,1430.0
275.0,1168.0
280.0,1320.0
285.0,1394.0
290.0,1350.0
295.0,1465.0
300.0,1553.0
305.0,1726.0
310.0,1672.0
315.0,1825.0
320.0,1921.0
325.0,1909.0
330.0,1791.0
335.0,1700.0
340.0,1823.0
345.0,2050.0
350.0,2151.0
355.0,2529.0
360.0,2840.0
365.0,3118.0
370.0,3433.0
375.0,3657.0
380.0,3503.0
385.0,3640.0
390.0,3773.0
395.0,3712.0
400.0,3951.0
405.0,4283.0
410.0,4582.0
415.0,4330.0
420.0,4434.0
425.0,4347.0
430.0,4546.0
435.0,4692.0
440.0,4499.0
445.0,4689.0
450.0,4820.0
455.0,4894.0
460.0,4974.0
465.0,5218.0
470.0,5599.0
475.0,5873.0
480.0,5393.0
485.0,5514.0
490.0,5611.0
495.0,4478.0
500.0,4231.0
505.0,4394.0
510.0,4228.0
515.0,4520.0
520.0,4911.0
525.0,5401.0
530.0,4214.0
535.0,4226.0
540.0,4166.0
545.0,4128.0
550.0,4080.0
555.0,3909.0
560.0,3876.0
565.0,4058.0
570.0,4320.0
575.0,3400.0
580.0,3056.0
585.0,3294.0
590.0,3666.0
595.0,3508.0
600.0,3834.0
605.0,4288.0
610.0,4568.0
615.0,3891.0
620.0,3870.0
625.0,3807.0
630.0,3635.0
635.0,3460.0
640.0,3396.0
645.0,3763.0
650.0,4221.0
655.0,4230.0
660.0,4175.0
665.0,3954.0
670.0,3657.0
675.0,3700.0
680.0,3465.0
685.0,3019.0
690.0,3073.0
695.0,3142.0
700.0,3476.0
705.0,3823.0
710.0,3614.0
715.0,3955.0
720.0,4269.0
725.0,4412.0
730.0,4935.0
735.0,5133.0
740.0,5131.0
745.0,5248.0
750.0,5409.0
755.0,5444.0
760.0,5609.0
765.0,5580.0
770.0,5613.0
775.0,5026.0
780.0,5132.0
785.0,5342.0
790.0,5795.0
795.0,6127.0
800.0,6162.0
805.0,6202.0
810.0,6422.0
815.0,6336.0
820.0,6063.0
825.0,6104.0
830.0,6401.0
835.0,6159.0
840.0,6275.0
845.0,6646.0
850.0,5608.0
855.0,4833.0
860.0,4959.0
865.0,4554.0
870.0,4843.0
875.0,4897.0
880.0,5094.0
885.0,5174.0
890.0,5075.0
895.0,5528.0
900.0,5607.0
905.0,5682.0
910.0,5999.0
915.0,6366.0
920.0,5469.0
925.0,4718.0
930.0,4927.0
935.0,4917.0
940.0,5042.0
945.0,5569.0
950.0,6184.0
955.0,6658.0
960.0,7112.0
965.0,6807.0
970.0,6724.0
975.0,6943.0
980.0,7644.0
985.0,7656.0
990.0,6963.0
995.0,5938.0
1000.0,5900.0
1005.0,4924.0
1010.0,5232.0
1015.0,5500.0
1020.0,5824.0
1025.0,5815.0
1030.0,6045.0
1035.0,5187.0
1040.0,5610.0
1045.0,5021.0
1050.0,4817.0
1055.0,4878.0
1060.0,4953.0
1065.0,5407.0
1070.0,5854.0
1075.0,5739.0
1080.0,6324.0
1085.0,6793.0
1090.0,7030.0
1095.0,7581.0
1100.0,7456.0
1105.0,7766.0
1110.0,7674.0
1115.0,8042.0
1120.0,5535.0
1125.0,5195.0
1130.0,5551.0
1135.0,5542.0
1140.0,5139.0
1145.0,4258.0
